mind a 4 egyenlő-e,huspacy sima pos,huspacy tag (detailed pos),huspacy em ud tag,emagyar pos,huspacy token,emagyar token
False,|PROPN|,|PROPN|,|[]|,|NOUN|,ELNÖK,ELNÖK
False,|DET|,|DET|,|[]|,|PRON|,|azokról|,|azokról|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADJ|,|ADJ|,|[]|,|PRON|,|olyan|,|olyan|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Piketty|,|Piketty|
False,|ADV|,|ADV|,|[]|,|ADV|,|ki|,|ki|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Európai|,|Európai|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Uniótól|,|Uniótól|
False,|ADV|,|ADV|,|[]|,|ADV|,|ki|,|ki|
False,|PRON|,|PRON|,|PRON|,|ADV|,|rá|,|rá|
False,|AUX|,|AUX|,|[]|,|VERB|,|volt|,|volt|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|nyugat-európaiaknak|,|nyugat-európaiaknak|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|PRON|,|DET|,|PRON|,|PRON|,|ennek|,|ennek|
False,|VERB|,|AUX|,|VERB|,|VERB|,|volt|,|volt|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|zöldek|,|zöldek|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Európai|,|Európai|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Unió|,|Unió|
False,|ADJ|,|ADJ|,|[]|,|PRON|,|olyan|,|olyan|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Európai|,|Európai|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Uniót|,|Uniót|
False,|NOUN|,|PROPN|,|NOUN|,|NOUN|,|Földért|,|Földért|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Egyesült|,|Egyesült|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Európai|,|Európai|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Unió|,|Unió|
False,|DET|,|DET|,|[]|,|NUM|,|legtöbb|,|legtöbb|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|PRON|,|azért|,|azért|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|AUX|,|AUX|,|[]|,|VERB|,|fognak|,|fognak|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|hanem|,|hanem|
False,|DET|,|DET|,|[]|,|PRON|,|azoknak|,|azoknak|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|PROPN|,|PROPN|,|PROPN|,|NOUN|,|Tanács|,|Tanács|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Rétvári|,|Rétvári|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Európa-pártiak|,|Európa-pártiak|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|vagy|,|vagy|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Európa-ellenesek|,|Európa-ellenesek|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADV|,|ADV|,|[]|,|PRON|,|azért|,|azért|
False,|ADJ|,|NOUN|,|[]|,|NOUN|,|adóterhe|,|adóterhe|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|azonban|,|azonban|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|ADV|,|NUM|,|ADV|,|ADV|,|egyet|,|egyet|
False,|NUM|,|PROPN|,|NUM|,|NUM|,|9|,|9|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|AUX|,|AUX|,|[]|,|VERB|,|fognak|,|fognak|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|ADV|,|ADV|,|[]|,|PRON|,|úgy|,|úgy|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|DET|,|DET|,|[]|,|PRON|,|azoktól|,|azoktól|
False,|ADJ|,|ADJ|,|[]|,|NUM|,|legtöbbje|,|legtöbbje|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|sem|,|sem|
False,|PRON|,|PRON|,|[]|,|NOUN|,|egyéb|,|egyéb|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|tehát|,|tehát|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADV|,|ADV|,|[]|,|PRON|,|akkor|,|akkor|
False,|AUX|,|AUX|,|[]|,|VERB|,|fogják|,|fogják|
False,|ADV|,|ADV|,|[]|,|PRON|,|míg|,|míg|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|kis-|,|kis-|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|NOUN|,|PRON|,|[]|,|PRON|,|azoknak|,|azoknak|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|PRON|,|azért|,|azért|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|többinek|,|többinek|
False,|ADV|,|ADV|,|[]|,|PRON|,|Azért|,|Azért|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|DET|,|DET|,|[]|,|PRON|,|minden|,|minden|
False,|ADV|,|ADV|,|[]|,|PRON|,|úgy|,|úgy|
False,|SCONJ|,|SCONJ|,|[]|,|CONJ|,|mintha|,|mintha|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Háznak|,|Háznak|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|ADV|,|ADV|,|[]|,|PRON|,|akkor|,|akkor|
False,|ADV|,|ADV|,|[]|,|PRON|,|ott|,|ott|
False,|DET|,|DET|,|DET|,|NUM|,|egy|,|egy|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Taps|,|Taps|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|ELNÖK|,|ELNÖK|
False,|PROPN|,|PROPN|,|PROPN|,|ADJ|,|János|,|János|
False,|PROPN|,|PRON|,|[]|,|NOUN|,|DR.|,|DR.|
False,|PROPN|,|PROPN|,|PROPN|,|ADJ|,|JÁNOS|,|JÁNOS|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Miniszterelnöki|,|Miniszterelnöki|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Kabinetiroda|,|Kabinetiroda|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Ház|,|Ház|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|NOUN|,|PRON|,|[]|,|ADV|,|messzebbről|,|messzebbről|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|NOUN|,|DET|,|[]|,|PRON|,|azokra|,|azokra|
False,|NUM|,|NUM|,|[]|,|NUM|,|25-30-35|,|25-30-35|
False,|ADV|,|ADV|,|[]|,|PRON|,|amikor|,|amikor|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|NOUN|,|NOUN|,|[]|,|NOUN|,|évtizedekre|,|évtizedekre|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|ezért|,|ezért|
False,|PRON|,|ADV|,|PRON|,|PRON|,|számunkra|,|számunkra|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|kereszténydemokrata-Fidesz-kormány|,|kereszténydemokrata|
False,|AUX|,|AUX|,|[]|,|VERB|,|volt|,|volt|
False,|PRON|,|PRON|,|[]|,|ADV|,|mindazokat|,|mindazokat|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADV|,|ADV|,|[]|,|PRON|,|azért|,|azért|
False,|ADJ|,|ADJ|,|[]|,|ADV|,|stratégiailag|,|stratégiailag|
False,|NOUN|,|ADJ|,|[]|,|ADJ|,|meghatározók|,|meghatározók|
False,|ADV|,|ADV|,|[]|,|ADV|,|másrészt|,|másrészt|
False,|ADV|,|PRON|,|[]|,|PRON|,|azért|,|azért|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|DET|,|DET|,|[]|,|ADJ|,|egyik|,|egyik|
False,|PRON|,|PRON|,|[]|,|ADV|,|mindazokat|,|mindazokat|
False,|AUX|,|AUX|,|[]|,|VERB|,|legyenek|,|legyenek|
False,|PRON|,|DET|,|PRON|,|PRON|,|azok|,|azok|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|PROPN|,|NUM|,|[]|,|NUM|,|13.10|,|13.10|
False,|PROPN|,|PROPN|,|[]|,|VERB|,|Visszavásároltuk|,|Visszavásároltuk|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|vagy|,|vagy|
False,|DET|,|PRON|,|[]|,|PRON|,|azokat|,|azokat|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|DET|,|DET|,|[]|,|PRON|,|ebben|,|ebben|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|hanem|,|hanem|
False,|ADV|,|ADV|,|[]|,|PRON|,|Ezért|,|Ezért|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|ADJ|,|ADJ|,|[]|,|NOUN|,|árstop|,|árstop|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADV|,|ADV|,|[]|,|CONJ|,|Ezért|,|Ezért|
False,|ADV|,|ADV|,|[]|,|PRON|,|úgy|,|úgy|
False,|ADV|,|ADV|,|ADV|,|ADJ|,|külön|,|külön|
False,|AUX|,|AUX|,|[]|,|VERB|,|volt|,|volt|
False,|NOUN|,|ADJ|,|NOUN|,|NOUN|,|minimumadó|,|minimumadó|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|PRON|,|számunkra|,|számunkra|
False,|DET|,|PRON|,|[]|,|ADJ|,|egyik|,|egyik|
False,|ADV|,|ADV|,|[]|,|ADV|,|ki|,|ki|
False,|PRON|,|PRON|,|[]|,|ADJ|,|másik|,|másik|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|hanem|,|hanem|
False,|DET|,|DET|,|[]|,|PRON|,|minden|,|minden|
False,|ADV|,|ADV|,|[]|,|PRON|,|Ezért|,|Ezért|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Kunhalmi|,|Kunhalmi|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Kunhalmi|,|Kunhalmi|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Kunhalmi|,|Kunhalmi|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Végiggondoltáke|,|Végiggondoltáke|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|ADV|,|ADV|,|[]|,|PRON|,|hogyan|,|hogyan|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|duplájára|,|duplájára|
False,|VERB|,|VERB|,|[]|,|NOUN|,|végezteke|,|végezteke|
False,|PROPN|,|ADV|,|[]|,|PROPN|,|Végiggondoltáke|,|Végiggondoltáke|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|DET|,|PRON|,|[]|,|PRON|,|ezt|,|ezt|
False,|PRON|,|PRON|,|[]|,|NOUN|,|más|,|más|
False,|ADJ|,|ADJ|,|[]|,|ADV|,|gazdaságilag|,|gazdaságilag|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|pedig|,|pedig|
False,|VERB|,|VERB|,|[]|,|PROPN|,|Végiggondoltáke|,|Végiggondoltáke|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|VERB|,|AUX|,|VERB|,|VERB|,|lehet|,|lehet|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Úr|,|Úr|
False,|NOUN|,|PRON|,|[]|,|PRON|,|amibe|,|amibe|
False,|DET|,|DET|,|DET|,|PRON|,|az|,|az|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Ungár|,|Ungár|
False,|PRON|,|PRON|,|PRON|,|ADV|,|ezen|,|ezen|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Taps|,|Taps|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|ELNÖK|,|ELNÖK|
False,|PROPN|,|PROPN|,|PROPN|,|ADJ|,|Tordai|,|Tordai|
False,|PROPN|,|PROPN|,|PROPN|,|ADJ|,|TORDAI|,|TORDAI|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Párbeszéd|,|Párbeszéd|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|NOUN|,|PROPN|,|NOUN|,|NOUN|,|Polgártársak|,|Polgártársak|
False,|ADV|,|ADJ|,|ADV|,|ADV|,|külön|,|külön|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Finike|,|Finike|
False,|AUX|,|ADJ|,|[]|,|VERB|,|volt|,|volt|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADV|,|ADV|,|[]|,|PRON|,|úgy|,|úgy|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|hiszen|,|hiszen|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|nemcsak|,|nemcsak|
False,|PRON|,|PRON|,|[]|,|ADP|,|köztük|,|köztük|
False,|PRON|,|PRON|,|[]|,|ADP|,|köztük|,|köztük|
False,|ADV|,|ADV|,|[]|,|PRON|,|így|,|így|
False,|AUX|,|AUX|,|[]|,|VERB|,|lesz|,|lesz|
False,|ADV|,|ADV|,|[]|,|PRON|,|így|,|így|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|ELNÖK|,|ELNÖK|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|sajátját|,|sajátját|
False,|ADV|,|ADV|,|[]|,|ADV|,|föl|,|föl|
False,|ADJ|,|ADJ|,|[]|,|PRON|,|valami|,|valami|
False,|PROPN|,|PROPN|,|PROPN|,|ADJ|,|Tordai|,|Tordai|
False,|PROPN|,|PROPN|,|PROPN|,|ADJ|,|TORDAI|,|TORDAI|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Párbeszéd|,|Párbeszéd|
False,|ADV|,|ADV|,|[]|,|PRON|,|Akkor|,|Akkor|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|ELNÖK|,|ELNÖK|
False,|AUX|,|AUX|,|[]|,|VERB|,|Legyenek|,|Legyenek|
False,|PROPN|,|PROPN|,|PROPN|,|ADJ|,|TORDAI|,|TORDAI|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Párbeszéd|,|Párbeszéd|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|ADV|,|VERB|,|[]|,|VERB|,|köszöntöm|,|köszöntöm|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Finike|,|Finike|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|Tehát|,|Tehát|
False,|AUX|,|ADJ|,|[]|,|VERB|,|volt|,|volt|
False,|ADV|,|ADV|,|[]|,|PRON|,|úgy|,|úgy|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADV|,|ADV|,|[]|,|ADV|,|ki|,|ki|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|VERB|,|VERB|,|[]|,|ADV|,|jelesül|,|jelesül|
False,|PROPN|,|PROPN|,|PROPN|,|NOUN|,|Karácsony|,|Karácsony|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|illetve|,|illetve|
False,|ADV|,|ADV|,|[]|,|PRON|,|Úgy|,|Úgy|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|tehát|,|tehát|
False,|ADJ|,|PRON|,|[]|,|NUM|,|mindannyian|,|mindannyian|
False,|DET|,|DET|,|[]|,|PRON|,|azt|,|azt|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADV|,|ADV|,|[]|,|PRON|,|Ezért|,|Ezért|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Európai|,|Európai|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Parlament|,|Parlament|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|PRON|,|PRON|,|[]|,|NOUN|,|egyebek|,|egyebek|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|illetve|,|illetve|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|duplája|,|duplája|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Párbeszéd|,|Párbeszéd|
False,|NOUN|,|NOUN|,|[]|,|NOUN|,|zöldpártként|,|zöldpártként|
False,|ADV|,|ADV|,|[]|,|ADV|,|mindig|,|mindig|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|pedig|,|pedig|
False,|ADJ|,|PRON|,|[]|,|PRON|,|ilyen|,|ilyen|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|hiszen|,|hiszen|
False,|ADV|,|ADV|,|[]|,|PRON|,|miközben|,|miközben|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|NOUN|,|PRON|,|[]|,|PRON|,|nekünk|,|nekünk|
False,|DET|,|DET|,|[]|,|ADV|,|többet|,|többet|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|de|,|de|
False,|PRON|,|PRON|,|[]|,|NUM|,|ugyanennyire|,|ugyanennyire|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|DET|,|PRON|,|[]|,|PRON|,|ezekben|,|ezekben|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADV|,|ADV|,|[]|,|PRON|,|amikor|,|amikor|
False,|DET|,|DET|,|[]|,|PRON|,|minden|,|minden|
False,|PRON|,|PRON|,|[]|,|NOUN|,|más|,|más|
False,|ADV|,|ADV|,|[]|,|PRON|,|Ezért|,|Ezért|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Párbeszéd|,|Párbeszéd|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|tehát|,|tehát|
False,|ADP|,|ADP|,|ADP|,|ADV|,|nézve|,|nézve|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|sőt|,|sőt|
False,|DET|,|DET|,|[]|,|PRON|,|azokban|,|azokban|
False,|PRON|,|DET|,|PRON|,|PRON|,|azokban|,|azokban|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahol|,|ahol|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahol|,|ahol|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahol|,|ahol|
False,|NOUN|,|NOUN|,|[]|,|NUM|,|négy-|,|négy-|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|de|,|de|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|VERB|,|AUX|,|VERB|,|VERB|,|lehessenek|,|lehessenek|
False,|ADV|,|ADV|,|[]|,|PRON|,|itt|,|itt|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Papamonatot|,|Papamonatot|
False,|ADV|,|ADV|,|[]|,|PRON|,|amikor|,|amikor|
False,|NUM|,|DET|,|NUM|,|NUM|,|egy|,|egy|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|hanem|,|hanem|
False,|INTJ|,|NOUN|,|[]|,|ADV|,|sic|,|sic|
False,|VERB|,|AUX|,|VERB|,|VERB|,|legyenek|,|legyenek|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PROPN|,|PROPN|,|[]|,|PRON|,|Önök|,|Önök|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahol|,|ahol|
False,|AUX|,|AUX|,|[]|,|VERB|,|volna|,|volna|
False,|ADV|,|ADV|,|[]|,|PRON|,|ott|,|ott|
False,|ADV|,|ADV|,|[]|,|ADV|,|vajon|,|vajon|
False,|ADV|,|ADV|,|[]|,|PRON|,|miért|,|miért|
False,|ADV|,|ADV|,|[]|,|PRON|,|mennyire|,|mennyire|
False,|ADV|,|ADV|,|[]|,|PRON|,|amikor|,|amikor|
False,|DET|,|DET|,|[]|,|PRON|,|minden|,|minden|
