huspacy_emm == emagyar,huspacy_ud,huspacy_emm,emagyar,huspacy token,emagyar token
False,|None|,|None|,|[/V][Prs.NDef.3Pl]|,|fognak|,|fognak|
False,|None|,|None|,|[/Det|Pro][Pl][Dat]|,|azoknak|,|azoknak|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/Adj][Nom]|,|Rétvári|,|Rétvári|
False,|None|,|None|,|[/Adj][Pl][Nom]|,|Európa-pártiak|,|Európa-pártiak|
False,|None|,|None|,|[/Adj][Pl][Nom]|,|Európa-ellenesek|,|Európa-ellenesek|
False,|None|,|None|,|[/Adv|Pro]|,|azért|,|azért|
False,|None|,|None|,|[/N][Poss.3Sg][Nom]|,|adóterhe|,|adóterhe|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/V][Prs.NDef.3Pl]|,|fognak|,|fognak|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/Adv|Pro]|,|úgy|,|úgy|
False,|None|,|None|,|[/Prev]|,|be|,|be|
False,|None|,|None|,|[/Det|Pro][Pl][Abl]|,|azoktól|,|azoktól|
False,|None|,|None|,|[/Supl][/Num][_Comp/Num][Poss.3Sg][Nom]|,|legtöbbje|,|legtöbbje|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/Prev]|,|be|,|be|
False,|None|,|None|,|[/N|Pro][Nom]|,|egyéb|,|egyéb|
False,|None|,|None|,|[/Adv|Pro]|,|akkor|,|akkor|
False,|None|,|None|,|[/V][Prs.Def.3Pl]|,|fogják|,|fogják|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|míg|,|míg|
False,|None|,|None|,|[/Adj|Attr][Nom][Hyph:Hyph]|,|kis-|,|kis-|
False,|None|,|None|,|[/Det|Pro][Pl][Dat]|,|azoknak|,|azoknak|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Det|Pro][Cau]|,|azért|,|azért|
False,|None|,|None|,|[/Adj|Pro][Dat]|,|többinek|,|többinek|
False,|None|,|None|,|[/Adv|Pro]|,|Azért|,|Azért|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Det|Pro][Nom]|,|ez|,|ez|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/N|Pro][Nom]|,|minden|,|minden|
False,|None|,|None|,|[/Adv|Pro]|,|úgy|,|úgy|
False,|None|,|None|,|[/Cnj]|,|mintha|,|mintha|
False,|None|,|None|,|[/N][Dat]|,|Háznak|,|Háznak|
False,|None|,|None|,|[/Det|Pro][Nom]|,|ez|,|ez|
False,|None|,|None|,|[/Adv|Pro]|,|akkor|,|akkor|
False,|None|,|None|,|[/Adv|Pro]|,|ott|,|ott|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/N][Nom]|,|Taps|,|Taps|
False,|None|,|None|,|[/N][Nom]|,|ELNÖK|,|ELNÖK|
False,|None|,|None|,|[/N][Nom][Punct]|,|DR.|,|DR.|
False,|None|,|None|,|[/Adj][Nom]|,|Miniszterelnöki|,|Miniszterelnöki|
False,|None|,|None|,|[/N][Nom]|,|Kabinetiroda|,|Kabinetiroda|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/N][Nom]|,|Ház|,|Ház|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/Adv]|,|messzebbről|,|messzebbről|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Det|Pro][Pl][Subl]|,|azokra|,|azokra|
False,|None|,|None|,|[/Num|Digit][Nom]|,|25-30-35|,|25-30-35|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|amikor|,|amikor|
False,|None|,|None|,|[/N][Pl][Subl]|,|évtizedekre|,|évtizedekre|
False,|None|,|None|,|[/Adj][Nom]|,|kereszténydemokrata-Fidesz-kormány|,|kereszténydemokrata|
False,|None|,|None|,|[/V][Pst.NDef.3Sg]|,|volt|,|volt|
False,|None|,|None|,|[/Det|Pro][Pl][Acc]|,|mindazokat|,|mindazokat|
False,|None|,|None|,|[/Det|Pro][Cau]|,|azért|,|azért|
False,|None|,|None|,|[/Adv]|,|stratégiailag|,|stratégiailag|
False,|None|,|None|,|[/Adj][Pl][Nom]|,|meghatározók|,|meghatározók|
False,|None|,|None|,|[/Adv]|,|másrészt|,|másrészt|
False,|None|,|None|,|[/Det|Pro][Cau]|,|azért|,|azért|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Det|Pro][Nom]|,|ez|,|ez|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|egyik|,|egyik|
False,|None|,|None|,|[/Det|Pro][Pl][Acc]|,|mindazokat|,|mindazokat|
False,|None|,|None|,|[/V][Sbjv.NDef.3Pl]|,|legyenek|,|legyenek|
False,|None|,|None|,|[/Num|Digit][Nom]|,|13.10|,|13.10|
False,|None|,|None|,|[/V][Pst.Def.1Pl]|,|Visszavásároltuk|,|Visszavásároltuk|
False,|None|,|None|,|[/Det|Pro][Pl][Acc]|,|azokat|,|azokat|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Det|Pro][Ine]|,|ebben|,|ebben|
False,|None|,|None|,|[/Adv|Pro]|,|Ezért|,|Ezért|
False,|None|,|None|,|[/Prev]|,|be|,|be|
False,|None|,|None|,|[/N][Nom]|,|árstop|,|árstop|
False,|None|,|None|,|[/Cnj]|,|Ezért|,|Ezért|
False,|None|,|None|,|[/Adv|Pro]|,|úgy|,|úgy|
False,|None|,|None|,|[/V][Pst.NDef.3Sg]|,|volt|,|volt|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv|Pro]|,|számunkra|,|számunkra|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|egyik|,|egyik|
False,|None|,|None|,|[/Prev]|,|ki|,|ki|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|másik|,|másik|
False,|None|,|None|,|[/N|Pro][Nom]|,|minden|,|minden|
False,|None|,|None|,|[/Adv|Pro]|,|Ezért|,|Ezért|
False,|None|,|None|,|[/Adj][Nom]|,|Kunhalmi|,|Kunhalmi|
False,|None|,|None|,|[/Adj][Nom]|,|Kunhalmi|,|Kunhalmi|
False,|None|,|None|,|[/Adj][Nom]|,|Kunhalmi|,|Kunhalmi|
False,|None|,|None|,|[/N][Nom]|,|Végiggondoltáke|,|Végiggondoltáke|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/Adv|Pro|Int]|,|hogyan|,|hogyan|
False,|None|,|None|,|[/Adj][Poss.3Sg][Subl]|,|duplájára|,|duplájára|
False,|None|,|None|,|[/N][Poss.3Sg][Nom]|,|végezteke|,|végezteke|
False,|None|,|None|,|[/N][Nom]|,|Végiggondoltáke|,|Végiggondoltáke|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/Det|Pro][Acc]|,|ezt|,|ezt|
False,|None|,|None|,|[/N|Pro][Nom]|,|más|,|más|
False,|None|,|None|,|[/Adv]|,|gazdaságilag|,|gazdaságilag|
False,|None|,|None|,|[/N][Nom]|,|Végiggondoltáke|,|Végiggondoltáke|
False,|None|,|None|,|[/Det|Pro][Nom]|,|ez|,|ez|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/N][Nom]|,|Úr|,|Úr|
False,|None|,|None|,|[/N|Pro|Rel][Ill]|,|amibe|,|amibe|
False,|None|,|None|,|[/N][Nom]|,|Ungár|,|Ungár|
False,|None|,|None|,|[/N][Nom]|,|Taps|,|Taps|
False,|None|,|None|,|[/N][Nom]|,|ELNÖK|,|ELNÖK|
False,|None|,|None|,|[/N][Nom]|,|Párbeszéd|,|Párbeszéd|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/N][Nom]|,|Országgyűlés|,|Országgyűlés|
False,|None|,|None|,|[/N][Nom]|,|Finike|,|Finike|
False,|None|,|None|,|[/V][Pst.NDef.3Sg]|,|volt|,|volt|
False,|None|,|None|,|[/Adv|Pro]|,|úgy|,|úgy|
False,|None|,|None|,|[/Det|Pro][Nom]|,|ez|,|ez|
False,|None|,|None|,|[/Adv]|,|nemcsak|,|nemcsak|
False,|None|,|None|,|[/Post][3Pl]|,|köztük|,|köztük|
False,|None|,|None|,|[/Post][3Pl]|,|köztük|,|köztük|
False,|None|,|None|,|[/Adv|Pro]|,|így|,|így|
False,|None|,|None|,|[/V][Prs.NDef.3Sg]|,|lesz|,|lesz|
False,|None|,|None|,|[/Adv|Pro]|,|így|,|így|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/N][Nom]|,|ELNÖK|,|ELNÖK|
False,|None|,|None|,|[/Adj][Poss.3Sg][Acc]|,|sajátját|,|sajátját|
False,|None|,|None|,|[/Prev]|,|föl|,|föl|
False,|None|,|None|,|[/N|Pro][Nom]|,|valami|,|valami|
False,|None|,|None|,|[/N][Nom]|,|Párbeszéd|,|Párbeszéd|
False,|None|,|None|,|[/Adv|Pro]|,|Akkor|,|Akkor|
False,|None|,|None|,|[/N][Nom]|,|ELNÖK|,|ELNÖK|
False,|None|,|None|,|[/V][Sbjv.NDef.3Pl]|,|Legyenek|,|Legyenek|
False,|None|,|None|,|[/N][Nom]|,|Párbeszéd|,|Párbeszéd|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/N][Nom]|,|Országgyűlés|,|Országgyűlés|
False,|None|,|None|,|[/V][Prs.Def.1Sg]|,|köszöntöm|,|köszöntöm|
False,|None|,|None|,|[/N][Nom]|,|Finike|,|Finike|
False,|None|,|None|,|[/V][Pst.NDef.3Sg]|,|volt|,|volt|
False,|None|,|None|,|[/Adv|Pro]|,|úgy|,|úgy|
False,|None|,|None|,|[/Prev]|,|ki|,|ki|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv]|,|jelesül|,|jelesül|
False,|None|,|None|,|[/Adv|Pro]|,|Úgy|,|Úgy|
False,|None|,|None|,|[/Num|Pro][_Aggreg/Adv]|,|mindannyian|,|mindannyian|
False,|None|,|None|,|[/Det|Pro][Acc]|,|azt|,|azt|
False,|None|,|None|,|[/Adv|Pro]|,|Ezért|,|Ezért|
False,|None|,|None|,|[/Adj][Nom]|,|Európai|,|Európai|
False,|None|,|None|,|[/N][Nom]|,|Parlament|,|Parlament|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|egyebek|,|egyebek|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adj][Poss.3Sg][Nom]|,|duplája|,|duplája|
False,|None|,|None|,|[/N][Nom]|,|Párbeszéd|,|Párbeszéd|
False,|None|,|None|,|[/N][EssFor:ként]|,|zöldpártként|,|zöldpártként|
False,|None|,|None|,|[/Adv]|,|mindig|,|mindig|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|ilyen|,|ilyen|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|miközben|,|miközben|
False,|None|,|None|,|[/N|Pro][Dat][1Pl]|,|nekünk|,|nekünk|
False,|None|,|None|,|[/Adv]|,|többet|,|többet|
False,|None|,|None|,|[/Num|Pro][Subl]|,|ugyanennyire|,|ugyanennyire|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Det|Pro][Pl][Ine]|,|ezekben|,|ezekben|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|amikor|,|amikor|
False,|None|,|None|,|[/N|Pro][Nom]|,|minden|,|minden|
False,|None|,|None|,|[/N|Pro][Nom]|,|más|,|más|
False,|None|,|None|,|[/Adv|Pro]|,|Ezért|,|Ezért|
False,|None|,|None|,|[/N][Nom]|,|Párbeszéd|,|Párbeszéd|
False,|None|,|None|,|[/Prev]|,|be|,|be|
False,|None|,|None|,|[/Prev]|,|be|,|be|
False,|None|,|None|,|[/Det|Pro][Pl][Ine]|,|azokban|,|azokban|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|ahol|,|ahol|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|ahol|,|ahol|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|ahol|,|ahol|
False,|None|,|None|,|[/Num][Nom][Hyph:Hyph]|,|négy-|,|négy-|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv|Pro]|,|itt|,|itt|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/N][Acc]|,|Papamonatot|,|Papamonatot|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|amikor|,|amikor|
False,|None|,|None|,|[/Adv]|,|sic|,|sic|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|Önök|,|Önök|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|ahol|,|ahol|
False,|None|,|None|,|[/V][Cond.NDef.3Sg]|,|volna|,|volna|
False,|None|,|None|,|[/Adv|Pro]|,|ott|,|ott|
False,|None|,|None|,|[/Adv]|,|vajon|,|vajon|
False,|None|,|None|,|[/Adv|Pro|Int]|,|miért|,|miért|
False,|None|,|None|,|[/Num|Pro|Int][Subl]|,|mennyire|,|mennyire|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|amikor|,|amikor|
False,|None|,|None|,|[/N|Pro][Nom]|,|minden|,|minden|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/N][Pl.Poss.3Pl][Nom]|,|EP-képviselőik|,|EP-képviselőik|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|olyan|,|olyan|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|ahol|,|ahol|
False,|None|,|None|,|[/Prev]|,|fel|,|fel|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|ahol|,|ahol|
False,|None|,|None|,|[/Adj][_Manner/Adv]|,|függően|,|függően|
False,|None|,|None|,|[/Cnj]|,|Szóval|,|Szóval|
False,|None|,|None|,|[/Det|Pro][Ine]|,|ebben|,|ebben|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|olyan|,|olyan|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/Adj][Nom]|,|genderideológiás|,|genderideológiás|
False,|None|,|None|,|[/Adv]|,|annál|,|annál|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/V][Prs.NDef.1Sg]|,|vagyok|,|vagyok|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|amikor|,|amikor|
False,|None|,|None|,|[/Adv|Pro]|,|akkor|,|akkor|
False,|None|,|None|,|[/Num][Acc]|,|eleget|,|eleget|
False,|None|,|None|,|[/Num][Acc]|,|eleget|,|eleget|
False,|None|,|None|,|[/V][Prs.NDef.3Sg]|,|fog|,|fog|
False,|None|,|None|,|[/V][Pst.Def.3Sg]|,|remélhetjüke|,|remélhetjüke|
False,|None|,|None|,|[/V][Prs.Def.3Pl]|,|fogják|,|fogják|
False,|None|,|None|,|[/N][Nom]|,|ELNÖK|,|ELNÖK|
False,|None|,|None|,|[/Num|Digit][Nom]|,|13.20|,|13.20|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/N][Nom]|,|Országgyűlés|,|Országgyűlés|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adj][Nom]|,|Kulturális|,|Kulturális|
False,|None|,|None|,|[/Cnj]|,|és|,|és|
False,|None|,|None|,|[/N][Nom]|,|Innovációs|,|Innovációs|
False,|None|,|None|,|[/N][Nom]|,|Minisztérium|,|Minisztérium|
False,|None|,|None|,|[/Post][1Pl]|,|közöttünk|,|közöttünk|
False,|None|,|None|,|[/Adj][Nom]|,|Európai|,|Európai|
False,|None|,|None|,|[/N][Ine]|,|Unióban|,|Unióban|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|egyik|,|egyik|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|ahogyan|,|ahogyan|
False,|None|,|None|,|[/Adv|Pro]|,|eddig|,|eddig|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv]|,|mindig|,|mindig|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Num][Acc]|,|eleget|,|eleget|
False,|None|,|None|,|[/V][Prs.NDef.3Sg]|,|fog|,|fog|
False,|None|,|None|,|[/Adv|Pro]|,|ezért|,|ezért|
False,|None|,|None|,|[/Num][_Comp/Num][Nom]|,|több|,|több|
False,|None|,|None|,|[/Num][Nom]|,|néhány|,|néhány|
False,|None|,|None|,|[/Num][Nom]|,|számos|,|számos|
False,|None|,|None|,|[/Adv|Pro]|,|Eddig|,|Eddig|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/N][Ine]|,|Unióban|,|Unióban|
False,|None|,|None|,|[/N][Nom]|,|GDP|,|GDP|
False,|None|,|None|,|[/Prev]|,|fel|,|fel|
False,|None|,|None|,|[/Det|Pro][Pl][Acc]|,|mindazokat|,|mindazokat|
False,|None|,|None|,|[/Adv]|,|Elég|,|Elég|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|ahogyan|,|ahogyan|
False,|None|,|None|,|[/Adv|Pro]|,|eddig|,|eddig|
False,|None|,|None|,|[/Adv]|,|ezután|,|ezután|
False,|None|,|None|,|[/Prev]|,|be|,|be|
False,|None|,|None|,|[/V][Sbjv.NDef.3Sg]|,|legyen|,|legyen|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv|Pro]|,|ezáltal|,|ezáltal|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/Det|Pro][Pl][Ins]|,|ezekkel|,|ezekkel|
False,|None|,|None|,|[/Det|Pro][Ela]|,|ebből|,|ebből|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv]|,|mindig|,|mindig|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv|Pro]|,|így|,|így|
False,|None|,|None|,|[/N][Nom]|,|Taps|,|Taps|
False,|None|,|None|,|[/N][Nom]|,|ELNÖK|,|ELNÖK|
False,|None|,|None|,|[/Adv]|,|Szintén|,|Szintén|
False,|None|,|None|,|[/N][Nom]|,|Dócs|,|Dócs|
False,|None|,|None|,|[/N][Poss.1Pl][Nom]|,|Hazánk|,|Hazánk|
False,|None|,|None|,|[/N][Nom]|,|DÓCS|,|DÓCS|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/N][Nom]|,|Ház|,|Ház|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|Ahogy|,|Ahogy|
False,|None|,|None|,|[/N][Subl]|,|mára|,|mára|
False,|None|,|None|,|[/Adv]|,|Sajnos|,|Sajnos|
False,|None|,|None|,|[/Num][_Manner/Adv]|,|kevesen|,|kevesen|
False,|None|,|None|,|[/Adj][Pl][Nom]|,|alulfizetettek|,|alulfizetettek|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/Adj][Nom]|,|Kormánypárti|,|Kormánypárti|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/N][Nom]|,|Belügyminiszter|,|Belügyminiszter|
False,|None|,|None|,|[/N][Acc]|,|Betadine-t|,|Betadine-t|
False,|None|,|None|,|[/Det|Pro][Acc]|,|ezt|,|ezt|
False,|None|,|None|,|[/Num][_Comp/Num][Nom]|,|több|,|több|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|miközben|,|miközben|
False,|None|,|None|,|[/Num][_Mlt-Iter/Adv]|,|tízszer|,|tízszer|
False,|None|,|None|,|[/Num|Pro][_Aggreg/Adv]|,|ennyien|,|ennyien|
False,|None|,|None|,|[/Adv]|,|ugyan|,|ugyan|
False,|None|,|None|,|[/Num][Dat]|,|soknak|,|soknak|
False,|None|,|None|,|[/Det|Pro][Nom]|,|ez|,|ez|
False,|None|,|None|,|[/Adv|Pro]|,|akkor|,|akkor|
False,|None|,|None|,|[/V][Prs.NDef.3Sg]|,|lesz|,|lesz|
False,|None|,|None|,|[/Det|Pro][Ine]|,|ebben|,|ebben|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Adv|Pro]|,|úgy|,|úgy|
False,|None|,|None|,|[/N|Pro][Nom]|,|mindez|,|mindez|
False,|None|,|None|,|[/Adv]|,|sajnos|,|sajnos|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Cnj]|,|éppenhogy|,|éppenhogy|
False,|None|,|None|,|[/V][Sbjv.NDef.3Sg]|,|legyen|,|legyen|
False,|None|,|None|,|[/N|Pro][Nom]|,|más|,|más|
False,|None|,|None|,|[/Adv|Pro]|,|úgy|,|úgy|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|olyan|,|olyan|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/V][Cond.NDef.3Pl]|,|lennének|,|lennének|
False,|None|,|None|,|[/Adv|Pro]|,|úgy|,|úgy|
False,|None|,|None|,|[/V][_AdvPtcp/Adv]|,|vezényelve|,|vezényelve|
False,|None|,|None|,|[/Adv|Pro]|,|ahelyett|,|ahelyett|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|semmilyen|,|semmilyen|
False,|None|,|None|,|[/Adj][Nom]|,|fősodratú|,|fősodratú|
False,|None|,|None|,|[/N][Ela]|,|Fidesz-médiából|,|Fidesz-médiából|
False,|None|,|None|,|[/Adj][Pl][Nom]|,|teljesítők|,|teljesítők|
