huspacy == emagyar,huspacy,emagyar
True,|gondoljuk|,|gondoljuk|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|a|,|a|
True,|négy|,|négy|
True,|szabadság|,|szabadság|
True,|elve|,|elve|
True,|helyett|,|helyett|
True,"|,|","|,|"
True,|amely|,|amely|
True,|az|,|az|
True,|Európai|,|Európai|
True,|Unió|,|Unió|
True,|alapja|,|alapja|
True,"|,|","|,|"
True,|a|,|a|
True,|három|,|három|
True,|felelősség|,|felelősség|
True,|elvét|,|elvét|
True,|kéne|,|kéne|
True,|használni|,|használni|
True,"|,|","|,|"
True,|a|,|a|
True,|három|,|három|
True,|felelősség|,|felelősség|
True,|elve|,|elve|
True,|alapján|,|alapján|
True,|lehetne|,|lehetne|
True,|egy|,|egy|
True,|olyan|,|olyan|
True,|Európai|,|Európai|
True,|Uniót|,|Uniót|
True,|felépíteni|,|felépíteni|
True,"|,|","|,|"
True,|amely|,|amely|
True,|nem|,|nem|
True,|a|,|a|
True,|neoliberalizmus|,|neoliberalizmus|
True,|alapján|,|alapján|
True,|áll|,|áll|
True,|.|,|.|
True,|Ez|,|Ez|
True,|a|,|a|
True,|három|,|három|
True,|felelősség|,|felelősség|
True,|a|,|a|
True,|fogyasztókért|,|fogyasztókért|
True,|való|,|való|
True,|felelősség|,|felelősség|
True,"|,|","|,|"
True,|a|,|a|
True,|természetért|,|természetért|
True,"|,|","|,|"
True,|a|,|a|
True,|Földért|,|Földért|
True,|való|,|való|
True,|felelősség|,|felelősség|
True,|és|,|és|
True,|a|,|a|
True,|társadalomért|,|társadalomért|
True,|való|,|való|
True,|felelősség|,|felelősség|
True,|.|,|.|
True,|Mi|,|Mi|
True,|ennek|,|ennek|
True,|most|,|most|
True,|az|,|az|
True,|aktualitása|,|aktualitása|
True,|?|,|?|
True,|Azt|,|Azt|
True,|látjuk|,|látjuk|
True,"|,|","|,|"
True,|a|,|a|
True,|külügyminiszter|,|külügyminiszter|
True,|ezt|,|ezt|
True,|be|,|be|
True,|is|,|is|
True,|jelentette|,|jelentette|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|Magyarország|,|Magyarország|
True,|most|,|most|
True,|éppen|,|éppen|
True,|az|,|az|
True,|Egyesült|,|Egyesült|
True,|Államokkal|,|Államokkal|
True,|és|,|és|
True,|az|,|az|
True,|Európai|,|Európai|
True,|Unió|,|Unió|
True,|legtöbb|,|legtöbb|
True,|tagállamával|,|tagállamával|
True,|is|,|is|
True,|konfliktusba|,|konfliktusba|
True,|kerül|,|kerül|
True,|azért|,|azért|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|elérje|,|elérje|
True,"|,|","|,|"
True,|az|,|az|
True,|Audinak|,|Audinak|
True,|és|,|és|
True,|a|,|a|
True,|többi|,|többi|
True,|multinak|,|multinak|
True,|ne|,|ne|
True,|tudják|,|tudják|
True,|növelni|,|növelni|
True,|az|,|az|
True,|adóterhét|,|adóterhét|
True,|.|,|.|
True,|Amit|,|Amit|
True,|önök|,|önök|
True,|egy|,|egy|
True,|szuverenitási|,|szuverenitási|
True,|kérdésként|,|kérdésként|
True,|fognak|,|fognak|
True,|beállítani|,|beállítani|
True,"|,|","|,|"
True,|az|,|az|
True,|úgynevezett|,|úgynevezett|
True,|globális|,|globális|
True,|multiadó|,|multiadó|
True,|kérdése|,|kérdése|
True,"|,|","|,|"
True,|valójában|,|valójában|
True,|nem|,|nem|
True,|a|,|a|
True,|magyar|,|magyar|
True,|szuverenitásról|,|szuverenitásról|
True,|szól|,|szól|
True,"|,|","|,|"
True,|hanem|,|hanem|
True,|arról|,|arról|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|azoknak|,|azoknak|
True,|a|,|a|
True,|cégeknek|,|cégeknek|
True,"|,|","|,|"
True,|akiket|,|akiket|
True,|önök|,|önök|
True,|idehoztak|,|idehoztak|
True,"|,|","|,|"
True,|akiket|,|akiket|
True,|kivettek|,|kivettek|
True,|a|,|a|
True,|közteherviselés|,|közteherviselés|
True,|terhe|,|terhe|
True,|alól|,|alól|
True,|a|,|a|
True,|stratégiai|,|stratégiai|
True,|partnerségek|,|partnerségek|
True,|keretében|,|keretében|
True,"|,|","|,|"
True,|ne|,|ne|
True,|kelljen|,|kelljen|
True,|megemelniük|,|megemelniük|
True,|a|,|a|
True,|társasági|,|társasági|
True,|adójukat|,|adójukat|
True,|.|,|.|
True,|Az|,|Az|
True,|egész|,|egész|
True,|gazdaságpolitika|,|gazdaságpolitika|
True,|arra|,|arra|
True,|épül|,|épül|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|a|,|a|
True,|német|,|német|
True,|tőkét|,|tőkét|
True,|kiszolgálják|,|kiszolgálják|
True,"|,|","|,|"
True,|a|,|a|
True,|miniszterelnök|,|miniszterelnök|
True,|a|,|a|
True,|német|,|német|
True,|tőke|,|tőke|
True,|érdekei|,|érdekei|
True,|szerint|,|szerint|
True,|szavaz|,|szavaz|
True,|a|,|a|
True,|Tanács|,|Tanács|
True,|ülésén|,|ülésén|
True,"|,|","|,|"
True,|a|,|a|
True,|német|,|német|
True,|kancellárral|,|kancellárral|
True,|97|,|97|
True,|százalékban|,|százalékban|
True,|megegyező|,|megegyező|
True,|módon|,|módon|
True,|(|,|(|
True,|Rétvári|,|Rétvári|
True,|Bence|,|Bence|
True,|:|,|:|
True,|Európa-pártiak|,|Európa-pártiak|
True,|vagyunk|,|vagyunk|
True,|vagy|,|vagy|
True,|Európa-ellenesek|,|Európa-ellenesek|
True,|?|,|?|
True,|)|,|)|
True,"|,|","|,|"
True,|és|,|és|
True,|mindent|,|mindent|
True,|elérnek|,|elérnek|
True,|azért|,|azért|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|a|,|a|
True,|német|,|német|
True,|tőkének|,|tőkének|
True,|ne|,|ne|
True,|nőjön|,|nőjön|
True,|az|,|az|
True,|adóterhe|,|adóterhe|
True,|.|,|.|
True,|A|,|A|
True,|globális|,|globális|
True,|minimumadóval|,|minimumadóval|
True,|egyetértenek|,|egyetértenek|
True,|a|,|a|
True,|magyar|,|magyar|
True,|emberek|,|emberek|
True,"|,|","|,|"
True,|azzal|,|azzal|
True,|azonban|,|azonban|
True,|nem|,|nem|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|önök|,|önök|
True,|elutasítják|,|elutasítják|
True,"|,|","|,|"
True,|azzal|,|azzal|
True,|nem|,|nem|
True,|értenek|,|értenek|
True,|egyet|,|egyet|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|önöknek|,|önöknek|
True,|fontosabb|,|fontosabb|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|az|,|az|
True,|Audi|,|Audi|
True,|9|,|9|
True,|százalékos|,|százalékos|
True,|társasági|,|társasági|
True,|adót|,|adót|
True,|fizessen|,|fizessen|
True,"|,|","|,|"
True,|mint|,|mint|
True,|az|,|az|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|mondjuk|,|mondjuk|
True,"|,|","|,|"
True,|megemeljék|,|megemeljék|
True,|a|,|a|
True,|közalkalmazottak|,|közalkalmazottak|
True,|bérét|,|bérét|
True,|.|,|.|
True,|Az|,|Az|
True,|egész|,|egész|
True,|vita|,|vita|
True,"|,|","|,|"
True,|amit|,|amit|
True,|önök|,|önök|
True,|ismételten|,|ismételten|
True,|hazug|,|hazug|
True,|módon|,|módon|
True,|szuverenitási|,|szuverenitási|
True,|vitának|,|vitának|
True,|fognak|,|fognak|
True,|beállítani|,|beállítani|
True,"|,|","|,|"
True,|arról|,|arról|
True,|szól|,|szól|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|önök|,|önök|
True,|szerint|,|szerint|
True,|Magyarországnak|,|Magyarországnak|
True,|úgy|,|úgy|
True,|kell|,|kell|
True,|részt|,|részt|
True,|vennie|,|vennie|
True,|a|,|a|
True,|nemzetközi|,|nemzetközi|
True,|versenyben|,|versenyben|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|a|,|a|
True,|lehető|,|lehető|
True,|legkevesebb|,|legkevesebb|
True,|pénzt|,|pénzt|
True,|szedje|,|szedje|
True,|be|,|be|
True,|azoktól|,|azoktól|
True,|a|,|a|
True,|cégektől|,|cégektől|
True,"|,|","|,|"
True,|akiknek|,|akiknek|
True,|a|,|a|
True,|legtöbbje|,|legtöbbje|
True,|van|,|van|
True,|.|,|.|
True,|A|,|A|
True,|multiadók|,|multiadók|
True,"|,|","|,|"
True,|amelyeket|,|amelyeket|
True,|néha-néha|,|néha-néha|
True,|kivetnek|,|kivetnek|
True,"|,|","|,|"
True,|ha|,|ha|
True,|a|,|a|
True,|költségvetés|,|költségvetés|
True,|rossz|,|rossz|
True,|helyzetben|,|helyzetben|
True,|van|,|van|
True,"|,|","|,|"
True,|eltörpül|,|eltörpül|
True,|a|,|a|
True,|mellett|,|mellett|
True,|a|,|a|
True,|több|,|több|
True,|ezer|,|ezer|
True,|milliárd|,|milliárd|
True,|mellett|,|mellett|
True,"|,|","|,|"
True,|amit|,|amit|
True,|önök|,|önök|
True,|nem|,|nem|
True,|szedtek|,|szedtek|
True,|be|,|be|
True,|sem|,|sem|
True,|a|,|a|
True,|szennyező|,|szennyező|
True,|nagyvállalatoktól|,|nagyvállalatoktól|
True,"|,|","|,|"
True,|sem|,|sem|
True,|egyéb|,|egyéb|
True,|multinacionális|,|multinacionális|
True,|nagyvállalattól|,|nagyvállalattól|
True,|.|,|.|
True,|Ha|,|Ha|
True,|megnézik|,|megnézik|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|egy|,|egy|
True,|munkahelyre|,|munkahelyre|
True,|leosztva|,|leosztva|
True,"|,|","|,|"
True,|tehát|,|tehát|
True,|egy|,|egy|
True,|munkahelyet|,|munkahelyet|
True,|teremtve|,|teremtve|
True,|mennyi|,|mennyi|
True,|adóterhe|,|adóterhe|
True,|van|,|van|
True,|az|,|az|
True,|Audinak|,|Audinak|
True,"|,|","|,|"
True,|mennyi|,|mennyi|
True,|adóterhe|,|adóterhe|
True,|van|,|van|
True,|a|,|a|
True,|többi|,|többi|
True,|német|,|német|
True,|nagyvállalatnak|,|nagyvállalatnak|
True,|és|,|és|
True,|mennyi|,|mennyi|
True,"|,|","|,|"
True,|mondjuk|,|mondjuk|
True,"|,|","|,|"
True,|egy|,|egy|
True,|fodrásznak|,|fodrásznak|
True,"|,|","|,|"
True,|akkor|,|akkor|
True,|azt|,|azt|
True,|fogják|,|fogják|
True,|látni|,|látni|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|míg|,|míg|
True,|a|,|a|
True,|magyar|,|magyar|
True,|kis-|,|kis-|
True,|és|,|és|
True,|középvállalkozásokat|,|középvállalkozásokat|
True,|terhelik|,|terhelik|
True,"|,|","|,|"
True,|és|,|és|
True,|most|,|most|
True,|arra|,|arra|
True,|készülnek|,|készülnek|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|még|,|még|
True,|jobban|,|jobban|
True,|megterheljék|,|megterheljék|
True,|őket|,|őket|
True,"|,|","|,|"
True,|közben|,|közben|
True,|a|,|a|
True,|multinacionális|,|multinacionális|
True,|nagyvállalatoknak|,|nagyvállalatoknak|
True,"|,|","|,|"
True,|azoknak|,|azoknak|
True,"|,|","|,|"
True,|akiknek|,|akiknek|
True,|lenne|,|lenne|
True,|lehetőségük|,|lehetőségük|
True,|ezt|,|ezt|
True,|kifizetni|,|kifizetni|
True,"|,|","|,|"
True,|nem|,|nem|
True,|növelik|,|növelik|
True,|az|,|az|
True,|adóterhét|,|adóterhét|
True,"|,|","|,|"
True,|most|,|most|
True,|már|,|már|
True,|nemzetközi|,|nemzetközi|
True,|harcot|,|harcot|
True,|is|,|is|
True,|folytatnak|,|folytatnak|
True,|azért|,|azért|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|az|,|az|
True,|Audinak|,|Audinak|
True,|és|,|és|
True,|a|,|a|
True,|többinek|,|többinek|
True,|ne|,|ne|
True,|kelljen|,|kelljen|
True,|valódi|,|valódi|
True,|módon|,|módon|
True,|részt|,|részt|
True,|venni|,|venni|
True,|a|,|a|
True,|közteherviselésben|,|közteherviselésben|
True,|.|,|.|
True,|Azért|,|Azért|
True,|is|,|is|
True,|faramuci|,|faramuci|
True,|ez|,|ez|
True,|a|,|a|
True,|helyzet|,|helyzet|
True,"|,|","|,|"
True,|mert|,|mert|
True,|önök|,|önök|
True,|minden|,|minden|
True,|lépésüket|,|lépésüket|
True,|megpróbálják|,|megpróbálják|
True,|úgy|,|úgy|
True,|beállítani|,|beállítani|
True,"|,|","|,|"
True,|mintha|,|mintha|
True,|a|,|a|
True,|magyar|,|magyar|
True,|érdekek|,|érdekek|
True,|vezérelnék|,|vezérelnék|
True,|.|,|.|
True,|Nem|,|Nem|
True,|magyar|,|magyar|
True,|érdek|,|érdek|
True,|az|,|az|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|a|,|a|
True,|német|,|német|
True,|nagytőke|,|nagytőke|
True,|ne|,|ne|
True,|fizessen|,|fizessen|
True,|adót|,|adót|
True,|.|,|.|
True,|Ez|,|Ez|
True,|német|,|német|
True,|érdek|,|érdek|
True,|.|,|.|
True,|Ez|,|Ez|
True,|nem|,|nem|
True,|ennek|,|ennek|
True,|a|,|a|
True,|Háznak|,|Háznak|
True,|az|,|az|
True,|érdeke|,|érdeke|
True,"|,|","|,|"
True,|ez|,|ez|
True,|a|,|a|
True,|Bundestagnak|,|Bundestagnak|
True,|az|,|az|
True,|érdeke|,|érdeke|
True,|;|,|;|
True,|ha|,|ha|
True,|ezt|,|ezt|
True,|akarják|,|akarják|
True,|képviselni|,|képviselni|
True,"|,|","|,|"
True,|akkor|,|akkor|
True,|ott|,|ott|
True,|kell|,|kell|
True,|erről|,|erről|
True,|felszólalni|,|felszólalni|
True,|.|,|.|
True,|Összességében|,|Összességében|
True,|a|,|a|
True,|mi|,|mi|
True,|álláspontunk|,|álláspontunk|
True,|az|,|az|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|a|,|a|
True,|globális|,|globális|
True,|multiadó|,|multiadó|
True,|egy|,|egy|
True,|dolog|,|dolog|
True,|miatt|,|miatt|
True,|jó|,|jó|
True,"|,|","|,|"
True,|bár|,|bár|
True,|tudom|,|tudom|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|benne|,|benne|
True,|van|,|van|
True,|a|,|a|
True,|globális|,|globális|
True,|szó|,|szó|
True,"|,|","|,|"
True,|amit|,|amit|
True,|önök|,|önök|
True,|nem|,|nem|
True,|szeretnek|,|szeretnek|
True,|:|,|:|
True,|mert|,|mert|
True,|az|,|az|
True,|is|,|is|
True,|benne|,|benne|
True,|van|,|van|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|multi|,|multi|
True,"|,|","|,|"
True,|és|,|és|
True,|az|,|az|
True,|is|,|is|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|adó|,|adó|
True,|.|,|.|
True,|Köszönöm|,|Köszönöm|
True,|szépen|,|szépen|
True,|.|,|.|
True,|(|,|(|
True,|Taps|,|Taps|
True,|az|,|az|
True,|ellenzéki|,|ellenzéki|
False,|padsorokból|,|padsorokból.|
huspacy,|.|,
True,|)|,|)|
True,|ELNÖK|,|ELNÖK|
True,|:|,|:|
True,|Fónagy|,|Fónagy|
True,|János|,|János|
True,|államtitkár|,|államtitkár|
True,|úré|,|úré|
True,|a|,|a|
True,|szó|,|szó|
True,|.|,|.|
True,|Parancsoljon|,|Parancsoljon|
True,|!|,|!|
True,|DR.|,|DR.|
True,|FÓNAGY|,|FÓNAGY|
True,|JÁNOS|,|JÁNOS|
True,"|,|","|,|"
True,|a|,|a|
True,|Miniszterelnöki|,|Miniszterelnöki|
True,|Kabinetiroda|,|Kabinetiroda|
True,|államtitkára|,|államtitkára|
True,|:|,|:|
True,|Köszönöm|,|Köszönöm|
True,"|,|","|,|"
True,|elnök|,|elnök|
True,|úr|,|úr|
True,|.|,|.|
True,|Tisztelt|,|Tisztelt|
True,|Ház|,|Ház|
True,|!|,|!|
True,|Tisztelt|,|Tisztelt|
True,|Képviselő|,|Képviselő|
True,|Úr|,|Úr|
True,|!|,|!|
True,|Napirend|,|Napirend|
True,|előtti|,|előtti|
True,|hozzászólása|,|hozzászólása|
True,|lehetőséget|,|lehetőséget|
True,|ad|,|ad|
True,|számomra|,|számomra|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|részben|,|részben|
True,|messzebbről|,|messzebbről|
True,|kezdjem|,|kezdjem|
True,"|,|","|,|"
True,|részben|,|részben|
True,|a|,|a|
True,|bevallottan|,|bevallottan|
True,|szubjektív|,|szubjektív|
True,|véleményem|,|véleményem|
True,|is|,|is|
True,|elmondjam|,|elmondjam|
True,"|,|","|,|"
True,|melynek|,|melynek|
True,|a|,|a|
True,|lényege|,|lényege|
True,|az|,|az|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|azt|,|azt|
True,|hiszem|,|hiszem|
True,"|,|","|,|"
True,|alapvetően|,|alapvetően|
True,|másként|,|másként|
True,|látjuk|,|látjuk|
True,|a|,|a|
True,|világot|,|világot|
True,|.|,|.|
True,|Én|,|Én|
True,|világosan|,|világosan|
True,|emlékszem|,|emlékszem|
True,|azokra|,|azokra|
True,|a|,|a|
True,|25-30-35|,|25-30-35|
True,|évvel|,|évvel|
True,|ezelőtti|,|ezelőtti|
True,|állapotokra|,|állapotokra|
True,"|,|","|,|"
