huspacy lemma ==huspacy em_lemma == emagyar lemma,huspacy lemma,huspacy em_lemma,emagyar lemma,huspacy token,emagyar token
False,|Egyesült|,|None|,|egyesült|,|Egyesült|,|Egyesült|
False,|Európai|,|None|,|európai|,|Európai|,|Európai|
False,|Unió|,|None|,|unió|,|Unió|,|Unió|
False,|legtöbb|,|None|,|sok|,|legtöbb|,|legtöbb|
False,|is|,|None|,|is|,|is|,|is|
False,|azért|,|None|,|az|,|azért|,|azért|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|fog|,|None|,|fog|,|fognak|,|fognak|
False,|az|,|None|,|az|,|azoknak|,|azoknak|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|Rétvári|,|None|,|rétvári|,|Rétvári|,|Rétvári|
False,|Európa-párti|,|None|,|Európa-párti|,|Európa-pártiak|,|Európa-pártiak|
False,|Európa-ellenes|,|None|,|Európa-ellenes|,|Európa-ellenesek|,|Európa-ellenesek|
False,|azért|,|None|,|azért|,|azért|,|azért|
False,|adóterhe|,|None|,|adóteher|,|adóterhe|,|adóterhe|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|fog|,|None|,|fog|,|fognak|,|fognak|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|úgy|,|None|,|úgy|,|úgy|,|úgy|
False,|be|,|None|,|be|,|be|,|be|
False,|az|,|None|,|az|,|azoktól|,|azoktól|
False,|legtöbb|,|None|,|sok|,|legtöbbje|,|legtöbbje|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|be|,|None|,|be|,|be|,|be|
False,|egyéb|,|None|,|egyéb|,|egyéb|,|egyéb|
False,|akkor|,|None|,|akkor|,|akkor|,|akkor|
False,|fog|,|None|,|fog|,|fogják|,|fogják|
False,|míg|,|None|,|míg|,|míg|,|míg|
False,|kis-|,|None|,|kis|,|kis-|,|kis-|
False,|az|,|None|,|az|,|azoknak|,|azoknak|
False,|is|,|None|,|is|,|is|,|is|
False,|azért|,|None|,|az|,|azért|,|azért|
False,|többi|,|None|,|többi|,|többinek|,|többinek|
False,|azért|,|None|,|azért|,|Azért|,|Azért|
False,|is|,|None|,|is|,|is|,|is|
False,|ez|,|None|,|ez|,|ez|,|ez|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|minden|,|None|,|minden|,|minden|,|minden|
False,|úgy|,|None|,|úgy|,|úgy|,|úgy|
False,|mintha|,|None|,|mintha|,|mintha|,|mintha|
False,|Házik|,|None|,|ház|,|Háznak|,|Háznak|
False,|ez|,|None|,|ez|,|ez|,|ez|
False,|akkor|,|None|,|akkor|,|akkor|,|akkor|
False,|ott|,|None|,|ott|,|ott|,|ott|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|is|,|None|,|is|,|is|,|is|
False,|is|,|None|,|is|,|is|,|is|
False,|Taps|,|None|,|taps|,|Taps|,|Taps|
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|DR.|,|None|,|dr.|,|DR.|,|DR.|
False,|Miniszterelnöki|,|None|,|miniszterelnöki|,|Miniszterelnöki|,|Miniszterelnöki|
False,|Kabinetiroda|,|None|,|kabinetiroda|,|Kabinetiroda|,|Kabinetiroda|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Ház|,|None|,|ház|,|Ház|,|Ház|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|messze|,|None|,|messzebbről|,|messzebbről|,|messzebbről|
False,|is|,|None|,|is|,|is|,|is|
False,|az|,|None|,|az|,|azokra|,|azokra|
False,|25-30-35|,|None|,|25-30-35|,|25-30-35|,|25-30-35|
False,|amikor|,|None|,|amikor|,|amikor|,|amikor|
False,|évtized|,|None|,|évtized|,|évtizedekre|,|évtizedekre|
False,|kereszténydemokrata-Fidesz-kormány|,|None|,|kereszténydemokrata|,|kereszténydemokrata-Fidesz-kormány|,|kereszténydemokrata|
False,|van|,|None|,|van|,|volt|,|volt|
False,|mindaz|,|None|,|mindaz|,|mindazokat|,|mindazokat|
False,|azért|,|None|,|az|,|azért|,|azért|
False,|stratégiai|,|None|,|stratégiailag|,|stratégiailag|,|stratégiailag|
False,|meghatározó|,|None|,|meghatározó|,|meghatározók|,|meghatározók|
False,|másrészt|,|None|,|másrészt|,|másrészt|,|másrészt|
False,|azért|,|None|,|az|,|azért|,|azért|
False,|is|,|None|,|is|,|is|,|is|
False,|is|,|None|,|is|,|is|,|is|
False,|ez|,|None|,|ez|,|ez|,|ez|
False,|is|,|None|,|is|,|is|,|is|
False,|egyik|,|None|,|egyik|,|egyik|,|egyik|
False,|mindaz|,|None|,|mindaz|,|mindazokat|,|mindazokat|
False,|lesz|,|None|,|lesz|,|legyenek|,|legyenek|
False,|13.10|,|None|,|13.10|,|13.10|,|13.10|
False,|Visszavásárol|,|None|,|visszavásárol|,|Visszavásároltuk|,|Visszavásároltuk|
False,|az|,|None|,|az|,|azokat|,|azokat|
False,|is|,|None|,|is|,|is|,|is|
False,|is|,|None|,|is|,|is|,|is|
False,|ez|,|None|,|ez|,|ebben|,|ebben|
False,|ezért|,|None|,|ezért|,|Ezért|,|Ezért|
False,|be|,|None|,|be|,|be|,|be|
False,|árstop|,|None|,|árstop|,|árstop|,|árstop|
False,|ezért|,|None|,|ezért|,|Ezért|,|Ezért|
False,|úgy|,|None|,|úgy|,|úgy|,|úgy|
False,|van|,|None|,|van|,|volt|,|volt|
False,|is|,|None|,|is|,|is|,|is|
False,|számára|,|None|,|számunkra|,|számunkra|,|számunkra|
False,|egyik|,|None|,|egyik|,|egyik|,|egyik|
False,|ki|,|None|,|ki|,|ki|,|ki|
False,|másik|,|None|,|másik|,|másik|,|másik|
False,|minden|,|None|,|minden|,|minden|,|minden|
False,|ezért|,|None|,|ezért|,|Ezért|,|Ezért|
False,|Kunhalmi|,|None|,|kunhalmi|,|Kunhalmi|,|Kunhalmi|
False,|Kunhalmi|,|None|,|kunhalmi|,|Kunhalmi|,|Kunhalmi|
False,|Kunhalmi|,|None|,|kunhalmi|,|Kunhalmi|,|Kunhalmi|
False,|Végiggondoltáke|,|None|,|Végiggondoltáke|,|Végiggondoltáke|,|Végiggondoltáke|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|hogyan|,|None|,|hogyan|,|hogyan|,|hogyan|
False,|dupla|,|None|,|dupla|,|duplájára|,|duplájára|
False,|végezteke|,|None|,|végezték|,|végezteke|,|végezteke|
False,|Végiggondoltáke|,|None|,|Végiggondoltáke|,|Végiggondoltáke|,|Végiggondoltáke|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|ez|,|None|,|ez|,|ezt|,|ezt|
False,|más|,|None|,|más|,|más|,|más|
False,|gazdasági|,|None|,|gazdaságilag|,|gazdaságilag|,|gazdaságilag|
False,|végiggondoltáke|,|None|,|Végiggondoltáke|,|Végiggondoltáke|,|Végiggondoltáke|
False,|ez|,|None|,|ez|,|ez|,|ez|
False,|Tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Úr|,|None|,|úr|,|Úr|,|Úr|
False,|ami|,|None|,|ami|,|amibe|,|amibe|
False,|Ungár|,|None|,|Ungár|,|Ungár|,|Ungár|
False,|Taps|,|None|,|taps|,|Taps|,|Taps|
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|Párbeszéd|,|None|,|párbeszéd|,|Párbeszéd|,|Párbeszéd|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|Finike|,|None|,|Finike|,|Finike|,|Finike|
False,|van|,|None|,|van|,|volt|,|volt|
False,|úgy|,|None|,|úgy|,|úgy|,|úgy|
False,|ez|,|None|,|ez|,|ez|,|ez|
False,|nemcsak|,|None|,|nemcsak|,|nemcsak|,|nemcsak|
False,|közt|,|None|,|közt|,|köztük|,|köztük|
False,|közt|,|None|,|közt|,|köztük|,|köztük|
False,|így|,|None|,|így|,|így|,|így|
False,|lesz|,|None|,|lesz|,|lesz|,|lesz|
False,|így|,|None|,|így|,|így|,|így|
False,|is|,|None|,|is|,|is|,|is|
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|saját|,|None|,|saját|,|sajátját|,|sajátját|
False,|föl|,|None|,|föl|,|föl|,|föl|
False,|valami|,|None|,|valami|,|valami|,|valami|
False,|Párbeszéd|,|None|,|párbeszéd|,|Párbeszéd|,|Párbeszéd|
False,|akkor|,|None|,|akkor|,|Akkor|,|Akkor|
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|Lesz|,|None|,|lesz|,|Legyenek|,|Legyenek|
False,|Párbeszéd|,|None|,|párbeszéd|,|Párbeszéd|,|Párbeszéd|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|köszönt|,|None|,|köszönt|,|köszöntöm|,|köszöntöm|
False,|Finike|,|None|,|Finike|,|Finike|,|Finike|
False,|van|,|None|,|van|,|volt|,|volt|
False,|úgy|,|None|,|úgy|,|úgy|,|úgy|
False,|ki|,|None|,|ki|,|ki|,|ki|
False,|is|,|None|,|is|,|is|,|is|
False,|jelesül|,|None|,|jelesül|,|jelesül|,|jelesül|
False,|úgy|,|None|,|úgy|,|Úgy|,|Úgy|
False,|mindannyi|,|None|,|mindannyi|,|mindannyian|,|mindannyian|
False,|az|,|None|,|az|,|azt|,|azt|
False,|ezért|,|None|,|ezért|,|Ezért|,|Ezért|
False,|Európai|,|None|,|európai|,|Európai|,|Európai|
False,|Parlament|,|None|,|parlament|,|Parlament|,|Parlament|
False,|egyéb|,|None|,|egyéb|,|egyebek|,|egyebek|
False,|is|,|None|,|is|,|is|,|is|
False,|dupla|,|None|,|dupla|,|duplája|,|duplája|
False,|Párbeszéd|,|None|,|párbeszéd|,|Párbeszéd|,|Párbeszéd|
False,|zöldpárt|,|None|,|zöldpárt|,|zöldpártként|,|zöldpártként|
False,|mindig|,|None|,|mindig|,|mindig|,|mindig|
False,|is|,|None|,|is|,|is|,|is|
False,|ilyen|,|None|,|ilyen|,|ilyen|,|ilyen|
False,|miközben|,|None|,|miközben|,|miközben|,|miközben|
False,|neki|,|None|,|mi|,|nekünk|,|nekünk|
False,|több|,|None|,|többet|,|többet|,|többet|
False,|ugyanennyire|,|None|,|ugyanennyi|,|ugyanennyire|,|ugyanennyire|
False,|is|,|None|,|is|,|is|,|is|
False,|ez|,|None|,|ez|,|ezekben|,|ezekben|
False,|amikor|,|None|,|amikor|,|amikor|,|amikor|
False,|minden|,|None|,|minden|,|minden|,|minden|
False,|más|,|None|,|más|,|más|,|más|
False,|ezért|,|None|,|ezért|,|Ezért|,|Ezért|
False,|Párbeszéd|,|None|,|párbeszéd|,|Párbeszéd|,|Párbeszéd|
False,|be|,|None|,|be|,|be|,|be|
False,|be|,|None|,|be|,|be|,|be|
False,|az|,|None|,|az|,|azokban|,|azokban|
False,|ahol|,|None|,|ahol|,|ahol|,|ahol|
False,|ahol|,|None|,|ahol|,|ahol|,|ahol|
False,|ahol|,|None|,|ahol|,|ahol|,|ahol|
False,|négy-|,|None|,|négy|,|négy-|,|négy-|
False,|is|,|None|,|is|,|is|,|is|
False,|itt|,|None|,|itt|,|itt|,|itt|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|is|,|None|,|is|,|is|,|is|
False,|Papamonat|,|None|,|Papamonat|,|Papamonatot|,|Papamonatot|
False,|amikor|,|None|,|amikor|,|amikor|,|amikor|
False,|sic|,|None|,|sic|,|sic|,|sic|
False,|is|,|None|,|is|,|is|,|is|
False,|Ön|,|None|,|ön|,|Önök|,|Önök|
False,|ahol|,|None|,|ahol|,|ahol|,|ahol|
False,|volna|,|None|,|van|,|volna|,|volna|
False,|ott|,|None|,|ott|,|ott|,|ott|
False,|vajon|,|None|,|vajon|,|vajon|,|vajon|
False,|miért|,|None|,|miért|,|miért|,|miért|
False,|mennyire|,|None|,|mennyi|,|mennyire|,|mennyire|
False,|amikor|,|None|,|amikor|,|amikor|,|amikor|
False,|minden|,|None|,|minden|,|minden|,|minden|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|is|,|None|,|is|,|is|,|is|
False,|EP-képviselő|,|None|,|EP-képviselő|,|EP-képviselőik|,|EP-képviselőik|
False,|is|,|None|,|is|,|is|,|is|
False,|is|,|None|,|is|,|is|,|is|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,|ahol|,|None|,|ahol|,|ahol|,|ahol|
False,|fel|,|None|,|fel|,|fel|,|fel|
False,|ahol|,|None|,|ahol|,|ahol|,|ahol|
False,|függően|,|None|,|függő|,|függően|,|függően|
False,|szóval|,|None|,|szóval|,|Szóval|,|Szóval|
False,|ez|,|None|,|ez|,|ebben|,|ebben|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|genderideológiás|,|None|,|genderideológiás|,|genderideológiás|,|genderideológiás|
False,|annál|,|None|,|annál|,|annál|,|annál|
False,|is|,|None|,|is|,|is|,|is|
False,|van|,|None|,|van|,|vagyok|,|vagyok|
False,|amikor|,|None|,|amikor|,|amikor|,|amikor|
False,|akkor|,|None|,|akkor|,|akkor|,|akkor|
False,|elég|,|None|,|elég|,|eleget|,|eleget|
False,|elég|,|None|,|elég|,|eleget|,|eleget|
False,|fog|,|None|,|fog|,|fog|,|fog|
False,|remélhetjüke|,|None|,|remélhetjüke|,|remélhetjüke|,|remélhetjüke|
False,|fog|,|None|,|fog|,|fogják|,|fogják|
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|13.20|,|None|,|13.20|,|13.20|,|13.20|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|is|,|None|,|is|,|is|,|is|
False,|Kulturális|,|None|,|kulturális|,|Kulturális|,|Kulturális|
False,|és|,|None|,|és|,|és|,|és|
False,|Innovációs|,|None|,|innovációs|,|Innovációs|,|Innovációs|
False,|Minisztérium|,|None|,|minisztérium|,|Minisztérium|,|Minisztérium|
False,|közötte|,|None|,|között|,|közöttünk|,|közöttünk|
False,|Európai|,|None|,|európai|,|Európai|,|Európai|
False,|Unió|,|None|,|unió|,|Unióban|,|Unióban|
False,|egyik|,|None|,|egyik|,|egyik|,|egyik|
False,|is|,|None|,|is|,|is|,|is|
False,|is|,|None|,|is|,|is|,|is|
False,|is|,|None|,|is|,|is|,|is|
False,|ahogyan|,|None|,|ahogyan|,|ahogyan|,|ahogyan|
False,|eddig|,|None|,|eddig|,|eddig|,|eddig|
False,|is|,|None|,|is|,|is|,|is|
False,|mindig|,|None|,|mindig|,|mindig|,|mindig|
False,|is|,|None|,|is|,|is|,|is|
False,|elég|,|None|,|elég|,|eleget|,|eleget|
False,|fog|,|None|,|fog|,|fog|,|fog|
False,|ezért|,|None|,|ezért|,|ezért|,|ezért|
False,|több|,|None|,|sok|,|több|,|több|
False,|néhány|,|None|,|néhány|,|néhány|,|néhány|
False,|számos|,|None|,|számos|,|számos|,|számos|
False,|eddig|,|None|,|eddig|,|Eddig|,|Eddig|
False,|is|,|None|,|is|,|is|,|is|
False,|Unió|,|None|,|unió|,|Unióban|,|Unióban|
False,|GDP|,|None|,|GDP|,|GDP|,|GDP|
False,|fel|,|None|,|fel|,|fel|,|fel|
False,|mindaz|,|None|,|mindaz|,|mindazokat|,|mindazokat|
False,|elég|,|None|,|elég|,|Elég|,|Elég|
False,|ahogyan|,|None|,|ahogyan|,|ahogyan|,|ahogyan|
False,|eddig|,|None|,|eddig|,|eddig|,|eddig|
False,|ezután|,|None|,|ezután|,|ezután|,|ezután|
False,|be|,|None|,|be|,|be|,|be|
False,|lesz|,|None|,|van|,|legyen|,|legyen|
False,|is|,|None|,|is|,|is|,|is|
False,|ezáltal|,|None|,|ezáltal|,|ezáltal|,|ezáltal|
False,|is|,|None|,|is|,|is|,|is|
False,|Tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|ez|,|None|,|ez|,|ezekkel|,|ezekkel|
False,|ez|,|None|,|ez|,|ebből|,|ebből|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|is|,|None|,|is|,|is|,|is|
False,|mindig|,|None|,|mindig|,|mindig|,|mindig|
False,|is|,|None|,|is|,|is|,|is|
False,|így|,|None|,|így|,|így|,|így|
False,|Taps|,|None|,|taps|,|Taps|,|Taps|
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|szintén|,|None|,|szintén|,|Szintén|,|Szintén|
False,|Dócs|,|None|,|Dócs|,|Dócs|,|Dócs|
False,|Haza|,|None|,|haza|,|Hazánk|,|Hazánk|
False,|DÓCS|,|None|,|DÓCS|,|DÓCS|,|DÓCS|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Ház|,|None|,|ház|,|Ház|,|Ház|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|ahogy|,|None|,|ahogy|,|Ahogy|,|Ahogy|
False,|mára|,|None|,|ma|,|mára|,|mára|
False,|sajnos|,|None|,|sajnos|,|Sajnos|,|Sajnos|
False,|kevés|,|None|,|kevés|,|kevesen|,|kevesen|
False,|alulfizetett|,|None|,|alulfizetett|,|alulfizetettek|,|alulfizetettek|
False,|Tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Kormánypárti|,|None|,|kormánypárti|,|Kormánypárti|,|Kormánypárti|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Belügyminiszter|,|None|,|belügyminiszter|,|Belügyminiszter|,|Belügyminiszter|
False,|Betadine|,|None|,|Betadine|,|Betadine-t|,|Betadine-t|
False,|ez|,|None|,|ez|,|ezt|,|ezt|
False,|több|,|None|,|sok|,|több|,|több|
False,|miközben|,|None|,|miközben|,|miközben|,|miközben|
False,|tíz|,|None|,|tíz|,|tízszer|,|tízszer|
False,|ennyi|,|None|,|ennyi|,|ennyien|,|ennyien|
False,|ugyan|,|None|,|ugyan|,|ugyan|,|ugyan|
False,|sok|,|None|,|sok|,|soknak|,|soknak|
False,|ez|,|None|,|ez|,|ez|,|ez|
False,|akkor|,|None|,|akkor|,|akkor|,|akkor|
False,|lesz|,|None|,|lesz|,|lesz|,|lesz|
False,|ez|,|None|,|ez|,|ebben|,|ebben|
False,|is|,|None|,|is|,|is|,|is|
False,|úgy|,|None|,|úgy|,|úgy|,|úgy|
False,|mindez|,|None|,|mindez|,|mindez|,|mindez|
False,|sajnos|,|None|,|sajnos|,|sajnos|,|sajnos|
False,|is|,|None|,|is|,|is|,|is|
False,|éppenhogy|,|None|,|éppenhogy|,|éppenhogy|,|éppenhogy|
False,|lesz|,|None|,|van|,|legyen|,|legyen|
False,|más|,|None|,|más|,|más|,|más|
False,|úgy|,|None|,|úgy|,|úgy|,|úgy|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,|is|,|None|,|is|,|is|,|is|
False,|lesz|,|None|,|lesz|,|lennének|,|lennének|
False,|úgy|,|None|,|úgy|,|úgy|,|úgy|
False,|vezényelv|,|None|,|vezényel|,|vezényelve|,|vezényelve|
False,|ahelyett|,|None|,|ahelyett|,|ahelyett|,|ahelyett|
False,|semmilyen|,|None|,|semmilyen|,|semmilyen|,|semmilyen|
False,|fősodratú|,|None|,|fősodratú|,|fősodratú|,|fősodratú|
False,|Fidesz-médiá|,|None|,|Fidesz-média|,|Fidesz-médiából|,|Fidesz-médiából|
False,|teljesítő|,|None|,|teljesítő|,|teljesítők|,|teljesítők|
False,|is|,|None|,|is|,|is|,|is|
False,|egyéb|,|None|,|egyéb|,|egyéb|,|egyéb|
False,|is|,|None|,|is|,|is|,|is|
False,|elő|,|None|,|elő|,|elő|,|elő|
False,|éleslőfegyver|,|None|,|éleslőfegyver|,|éleslőfegyvert|,|éleslőfegyvert|
False,|fog|,|None|,|fog|,|fognak|,|fognak|
False,|le|,|None|,|le|,|le|,|le|
False,|saját|,|None|,|saját|,|saját|,|saját|
False,|bújva|,|None|,|bújik|,|bújva|,|bújva|
False,|amióta|,|None|,|amióta|,|Amióta|,|Amióta|
False,|elegendő|,|None|,|elegendő|,|elegendő|,|elegendő|
False,|ez|,|None|,|ez|,|ez|,|ez|
False,|Hazánk|,|None|,|haza|,|Hazánk|,|Hazánk|
False,|Mozgalom|,|None|,|mozgalom|,|Mozgalom|,|Mozgalom|
False,|amikor|,|None|,|amikor|,|amikor|,|amikor|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,|amikor|,|None|,|amikor|,|amikor|,|amikor|
False,|amikor|,|None|,|amikor|,|amikor|,|amikor|
False,|ezért|,|None|,|ezért|,|Ezért|,|Ezért|
False,|fontosságú|,|None|,|fontosságú|,|fontosságúként|,|fontosságúként|
False,|demotiváltság|,|None|,|demotiváltság|,|demotiváltságot|,|demotiváltságot|
False,|Hazánk|,|None|,|haza|,|Hazánk|,|Hazánk|
False,|Mozgalom|,|None|,|mozgalom|,|Mozgalom|,|Mozgalom|
False,|több|,|None|,|sok|,|többek|,|többek|
False,|is|,|None|,|is|,|is|,|is|
False,|ilyen|,|None|,|ilyen|,|ilyen|,|ilyen|
False,|Taps|,|None|,|taps|,|Taps|,|Taps|
False,|Haza|,|None|,|haza|,|Hazánk|,|Hazánk|
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|Rétvári|,|None|,|rétvári|,|Rétvári|,|Rétvári|
False,|fog|,|None|,|fog|,|fog|,|fog|
False,|13.30|,|None|,|13.30|,|13.30|,|13.30|
False,|RÉTVÁRI|,|None|,|rétvári|,|RÉTVÁRI|,|RÉTVÁRI|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Ház|,|None|,|ház|,|Ház|,|Ház|
False,|úgy|,|None|,|úgy|,|úgy|,|úgy|
False,|is|,|None|,|is|,|is|,|is|
False,|is|,|None|,|is|,|is|,|is|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|minthogyha|,|None|,|minthogyha|,|minthogyha|,|minthogyha|
False,|volna|,|None|,|volna|,|volna|,|volna|
False,|saját|,|None|,|saját|,|saját|,|saját|
False,|saját|,|None|,|saját|,|saját|,|saját|
False,|mindig|,|None|,|mindig|,|mindig|,|mindig|
False,|azért|,|None|,|azért|,|azért|,|azért|
False,|is|,|None|,|is|,|is|,|is|
False,|Tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Úr|,|None|,|úr|,|Úr|,|Úr|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|amikor|,|None|,|amikor|,|amikor|,|amikor|
False,|van|,|None|,|van|,|volt|,|volt|
False,|ez|,|None|,|ez|,|ebben|,|ebben|
False,|fog|,|None|,|fog|,|fog|,|fog|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|ahova|,|None|,|ahova|,|ahova|,|ahova|
False,|nemcsak|,|None|,|nemcsak|,|nemcsak|,|nemcsak|
False,|is|,|None|,|is|,|is|,|is|
False,|azért|,|None|,|azért|,|azért|,|azért|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|fog|,|None|,|fog|,|fognak|,|fognak|
False,|akkor|,|None|,|akkor|,|akkor|,|akkor|
False,|be|,|None|,|be|,|be|,|be|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|mindeközben|,|None|,|mindeközben|,|mindeközben|,|mindeközben|
False,|amikor|,|None|,|amikor|,|amikor|,|amikor|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|ott|,|None|,|ott|,|ott|,|ott|
False,|Jobbik|,|None|,|jó|,|Jobbiknak|,|Jobbiknak|
False,|Gárda|,|None|,|gárda|,|Gárda|,|Gárda|
False,|ott|,|None|,|ott|,|ott|,|ott|
