uspacy pos (sima upos),huspacy tag (detailed pos),huspacy em ud tag,emagyar pos,emagyarpos,,tokenek,ures,huspacy normal,huspacy detailed,huspacy em,emagyar,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(teremben teremben),,,,,,,
FALSE,|NOUN|,|NOUN|,|[]|,|ADJ|,,(lévők lévők),,?,?,?,?,,
FALSE,|CCONJ|,|CCONJ|,|[]|,|ADV|,,(is is),,ok?,ok?,n,n,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(leülnek leülnek.),,,,,,,
huspacy,|PUNCT|,|PUNCT|,|[]|,,,(.),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,() )),,ok,ok,n,ok,,
FALSE,|VERB|,|VERB|,|VERB|,|ADJ|,,(Tisztelt Tisztelt),,- ,-,-,-,,
FALSE,|NOUN|,|PROPN|,|NOUN|,|NOUN|,,(Képviselőtársaim Képviselőtársaim),,ok,n,ok,n,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(! !),,ok,ok,n,ok,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(Az Az),,,,,,,
FALSE,|PROPN|,|PROPN|,|[]|,|NOUN|,,(Országgyűlés Országgyűlés),,ok,ok,n,n,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(nyári nyári),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(rendkívüli rendkívüli),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(ülésének ülésének),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(1. 1.),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(ülésnapját ülésnapját),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(megnyitom megnyitom),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(Tájékoztatom Tájékoztatom),,,,,,,
FALSE,|NOUN|,|NOUN|,|[]|,|PRON|,,(önöket önöket),,n,n,n,ok,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|SCONJ|,|SCONJ|,|SCONJ|,|SCONJ|,,(hogy hogy),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(ülés ülés),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(vezetésében vezetésében),,,,,,,
TRUE,|PROPN|,|PROPN|,|PROPN|,|PROPN|,,(Szűcs Szűcs),,,,,,,
TRUE,|PROPN|,|PROPN|,|PROPN|,|PROPN|,,(Lajos Lajos),,,,,,,
TRUE,|CCONJ|,|CCONJ|,|CCONJ|,|CCONJ|,,(és és),,,,,,,
FALSE,|PROPN|,|PROPN|,|[]|,|ADJ|,,(Hiszékeny Hiszékeny),,ok,ok,n,n,,
TRUE,|PROPN|,|PROPN|,|PROPN|,|PROPN|,,(Dezső Dezső),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(jegyző jegyző),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(urak urak),,,,,,,
FALSE,|VERB|,|AUX|,|VERB|,|VERB|,,(lesznek lesznek),,ok,n,ok,ok,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(segítségemre segítségemre),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(Köszöntök Köszöntök),,,,,,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(mindenkit mindenkit),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(aki aki),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(figyelemmel figyelemmel),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(kíséri kíséri),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(munkánkat munkánkat),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
FALSE,|NOUN|,|NOUN|,|[]|,|ADJ|,,(Tisztelt Tisztelt),,n,n,n,ok?,,
FALSE,|PROPN|,|PROPN|,|[]|,|NOUN|,,(Ház Ház),,ok,ok,n,ok,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(! !),,ok,ok,n,ok,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(Tájékoztatom Tájékoztatom),,,,,,,
FALSE,|NOUN|,|NOUN|,|[]|,|PRON|,,(önöket önöket),,n,n,n,ok,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|SCONJ|,|SCONJ|,|SCONJ|,|SCONJ|,,(hogy hogy),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(kormány kormány),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
FALSE,|PROPN|,|PROPN|,|[]|,|NOUN|,,(Országgyűlésről Országgyűlésről),,ok,ok,n,n,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(szóló szóló),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(törvény törvény),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(35. 35.),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|NOUN|,,(§ §),,ok,ok,n,n,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(( (),,ok,ok,n,ok,,
FALSE,|PROPN|,|PROPN|,|[]|,|ADJ|,,(1 1)),,n,n,n,n,,
huspacy,|PUNCT|,|PUNCT|,|[]|,,,()),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(bekezdésében bekezdésében),,,,,,,
FALSE,|NOUN|,|NOUN|,|[]|,|ADJ|,,(foglaltak foglaltak),,ok,ok,n,n,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(alapján alapján),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
FALSE,|PROPN|,|PROPN|,|[]|,|NOUN|,,(Országgyűlés Országgyűlés),,ok,ok,n,n,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(rendkívüli rendkívüli),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(ülésének ülésének),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(összehívását összehívását),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(kezdeményezte kezdeményezte),,,,,,,
FALSE,|ADJ|,|VERB|,|ADJ|,|ADJ|,,(2022. 2022.),,n,n,n,n,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(június június),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(20-a 20-a),,,,,,,
TRUE,|CCONJ|,|CCONJ|,|CCONJ|,|CCONJ|,,(és és),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(június június),,,,,,,
FALSE,|PROPN|,|PROPN|,|[]|,|NOUN|,,(24e 24e),,n,n,n,n,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(közötti közötti),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(időre időre),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(A A),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(levelet levelet),,,,,,,
TRUE,|CCONJ|,|CCONJ|,|CCONJ|,|CCONJ|,,(és és),,,,,,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(annak annak),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(mellékletét mellékletét),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|CCONJ|,|CCONJ|,|CCONJ|,|CCONJ|,,(valamint valamint),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|PROPN|,|PROPN|,|PROPN|,|PROPN|,,(Fidesz Fidesz),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(képviselőcsoportjának képviselőcsoportjának),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(indítványát indítványát),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(rendkívüli rendkívüli),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(ülés ülés),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(napirendi napirendi),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(javaslatának javaslatának),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(kiegészítésére kiegészítésére),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(vonatkozóan vonatkozóan),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(honlapon honlapon),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(megismerhették megismerhették),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
FALSE,|NOUN|,|NOUN|,|[]|,|ADJ|,,(Tisztelt Tisztelt),,n,n,n,ok?,,
FALSE,|PROPN|,|PROPN|,|[]|,|NOUN|,,(Országgyűlés Országgyűlés),,ok,ok,n,n,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(! !),,ok,ok,n,ok,,
TRUE,|ADV|,|ADV|,|ADV|,|ADV|,,(Most Most),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(napirend napirend),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(előtti előtti),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(hozzászólásokra hozzászólásokra),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(kerül kerül),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(sor sor),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
FALSE,|NOUN|,|PROPN|,|[]|,|ADJ|,,(Elsőként Elsőként),,n,n,n,n,,
FALSE,|PROPN|,|PROPN|,|[]|,|PROPN|,,(Ungár Ungár),,ok,ok,n,ok,,
TRUE,|PROPN|,|PROPN|,|PROPN|,|PROPN|,,(Péter Péter),,,,,,,
FALSE,|NOUN|,|ADJ|,|NOUN|,|ADJ|,,(frakcióvezető frakcióvezető),,ok,n,ok,n,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(úrnak úrnak),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(adom adom),,,,,,,
TRUE,|PART|,|PART|,|PART|,|PART|,,(meg meg),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(szót szót),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
FALSE,|PROPN|,|PROPN|,|[]|,|PROPN|,,(LMP LMP),,ok,ok,n,ok,,
FALSE,|NOUN|,|NOUN|,|NOUN|,|ADP|,,(részéről részéről),,n,n,n,ok,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(Parancsoljon Parancsoljon),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(! !),,ok,ok,n,ok,,
FALSE,|PROPN|,|PROPN|,|[]|,|PROPN|,,(UNGÁR UNGÁR),,ok,ok,n,ok,,
TRUE,|PROPN|,|PROPN|,|PROPN|,|PROPN|,,(PÉTER PÉTER),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(( (),,ok,ok,n,ok,,
FALSE,|PROPN|,|PROPN|,|[]|,|PROPN|,,(LMP LMP),,ok,ok,n,ok,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(): ):),,ok,ok,n,ok,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(Köszönöm Köszönöm),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(szót szót),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
FALSE,|NOUN|,|NOUN|,|[]|,|ADJ|,,(Tisztelt Tisztelt),,n,n,n,ok?,,
FALSE,|PROPN|,|PROPN|,|[]|,|NOUN|,,(Országgyűlés Országgyűlés),,ok,ok,n,n,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(! !),,ok,ok,n,ok,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(Összességében Összességében),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
TRUE,|NUM|,|NUM|,|NUM|,|NUM|,,(1990 1990),,,,,,,
TRUE,|ADP|,|ADP|,|ADP|,|ADP|,,(óta óta),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(tartó tartó),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(folyamat folyamat),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(amely amely),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
FALSE,|NOUN|,|NOUN|,|[]|,|PROPN|,,(EU-integráció EU-integráció),,ok,ok,n,n?,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(folyamata folyamata),,,,,,,
FALSE,|AUX|,|AUX|,|[]|,|VERB|,,(volt volt),,n,n,n,ok,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|ADV|,|ADV|,|ADV|,|ADV|,,(nagyon nagyon),,,,,,,
FALSE,|DET|,|DET|,|[]|,|NUM|,,(sok sok),,n,n,n,ok,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(előnnyel előnnyel),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(járt járt),,,,,,,
TRUE,|PROPN|,|PROPN|,|PROPN|,|PROPN|,,(Magyarország Magyarország),,,,,,,
TRUE,|ADP|,|ADP|,|ADP|,|ADP|,,(számára számára),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(tervgazdaság tervgazdaság),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(romjain romjain),,,,,,,
FALSE,|VERB|,|VERB|,|VERB|,|ADJ|,,(kialakult kialakult),,ok,ok,ok,n,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(egy egy),,,,,,,
FALSE,|ADJ|,|ADJ|,|[]|,|PRON|,,(olyan olyan),,n,n,n,ok,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(gazdaság gazdaság),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(amelyben amelyben),,,,,,,
FALSE,|DET|,|DET|,|[]|,|NUM|,,(több több),,n,n,n,ok,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(szabadsága szabadsága),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(van van),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(embereknek embereknek),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(A A),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(helyzet helyzet),,,,,,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(az az),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|SCONJ|,|SCONJ|,|SCONJ|,|SCONJ|,,(hogy hogy),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(elmúlt elmúlt),,,,,,,
TRUE,|NUM|,|NUM|,|NUM|,|NUM|,,(12 12),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(év év),,,,,,,
TRUE,|ADV|,|ADV|,|ADV|,|ADV|,,(tulajdonképpen tulajdonképpen),,,,,,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(arról arról),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(szólt szólt),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|SCONJ|,|SCONJ|,|SCONJ|,|SCONJ|,,(hogy hogy),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(nemzetközi nemzetközi),,,,,,,
FALSE,|ADJ|,|ADJ|,|ADJ|,|NOUN|,,(neoliberális neoliberális),,ok,ok,ok,ok,ehhez kell kontextus,hogy a nemzetközi neoliberális gazdasági rendszerbe sikeresen betagozódjon
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(gazdasági gazdasági),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(rendszerbe rendszerbe),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(sikeresen sikeresen),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(betagozódjon betagozódjon),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(ország ország),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|CCONJ|,|CCONJ|,|CCONJ|,|CCONJ|,,(de de),,,,,,,
TRUE,|ADV|,|ADV|,|ADV|,|ADV|,,(nagyon nagyon),,,,,,,
FALSE,|DET|,|NUM|,|[]|,|NUM|,,(keveset keveset),,n,ok,n,ok,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(beszéltünk beszéltünk),,,,,,,
FALSE,|DET|,|DET|,|[]|,|PRON|,,(azokról azokról),,n,n,n,ok,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(hátrányokról hátrányokról),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(amelyeket amelyeket),,,,,,,
FALSE,|DET|,|DET|,|[]|,|PRON|,,(ez ez),,n,n,n,ok,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(elmúlt elmúlt),,,,,,,
TRUE,|NUM|,|NUM|,|NUM|,|NUM|,,(30 30),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(év év),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(okozott okozott),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(A A),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(magyar magyar),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(feldolgozóipar feldolgozóipar),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(megszűnt megszűnt),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|CCONJ|,|CCONJ|,|CCONJ|,|CCONJ|,,(és és),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(agyelszívás agyelszívás),,,,,,,
TRUE,|ADP|,|ADP|,|ADP|,|ADP|,,(miatt miatt),,,,,,,
TRUE,|ADV|,|ADV|,|ADV|,|ADV|,,(tulajdonképpen tulajdonképpen),,,,,,,
FALSE,|ADJ|,|ADJ|,|[]|,|PRON|,,(olyan olyan),,n,n,n,ok,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(embereket embereket),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(képzünk képzünk),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(akik akik),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(nyugati nyugati),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(bérelőny bérelőny),,,,,,,
TRUE,|ADP|,|ADP|,|ADP|,|ADP|,,(miatt miatt),,,,,,,
TRUE,|ADV|,|ADV|,|ADV|,|ADV|,,(nem nem),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(tudják tudják),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(megtalálni megtalálni),,,,,,,
TRUE,|PROPN|,|PROPN|,|PROPN|,|PROPN|,,(Magyarországon Magyarországon),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(számításukat számításukat),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
TRUE,|PROPN|,|PROPN|,|PROPN|,|PROPN|,,(Thomas Thomas),,,,,,,
FALSE,|PROPN|,|PROPN|,|[]|,|PROPN|,,(Piketty Piketty),,ok,ok,n,ok,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(közgazdász közgazdász),,,,,,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(azt azt),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(mondta mondta),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(azt azt),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(számolta számolta),,,,,,,
FALSE,|ADV|,|ADV|,|[]|,|ADV|,,(ki ki),,?,?,?,?,,
TRUE,|ADV|,|ADV|,|ADV|,|ADV|,,(nemrég nemrég),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|SCONJ|,|SCONJ|,|SCONJ|,|SCONJ|,,(hogy hogy),,,,,,,
