huspacy dep (converted) == emagyar dep,huspacy head == emagyar head,huspacy dep ud,huspacy dep converted,huspacy head,emagyar dep,emagyar head,huspacy token,emagyar token
True,False,|(nsubj)|,|SUBJ|,|leülnek|,|SUBJ|,|leülnek.|,|lévők|,|lévők|
False,False,|(cc)|,|COORD|,|leülnek|,|MODE|,|lévők|,|is|,|is|
False,False,|(ROOT)|,|ROOT|,|leülnek|,|COORD|,|foglal|,|leülnek|,|leülnek.|
huspacy,,|punct|,converted as: PUNCT,|leülnek|,,,|.|,
False,True,|(ROOT)|,|ROOT|,|)|,|PUNCT|,|)|,|)|,|)|
False,False,|(ROOT)|,|ROOT|,|Tisztelt|,|ATT|,|Képviselőtársaim|,|Tisztelt|,|Tisztelt|
False,False,|(nsubj)|,|SUBJ|,|Tisztelt|,|ROOT|,|Képviselőtársaim|,|Képviselőtársaim|,|Képviselőtársaim|
True,False,|(punct)|,|PUNCT|,|Tisztelt|,|PUNCT|,|!|,|!|,|!|
True,True,|(det)|,|DET|,|Országgyűlés|,|DET|,|Országgyűlés|,|Az|,|Az|
True,True,|(nmod:att)|,|ATT|,|ülésének|,|ATT|,|ülésének|,|Országgyűlés|,|Országgyűlés|
True,True,|(amod:att)|,|ATT|,|ülésének|,|ATT|,|ülésének|,|nyári|,|nyári|
True,True,|(amod:att)|,|ATT|,|ülésének|,|ATT|,|ülésének|,|rendkívüli|,|rendkívüli|
True,True,|(nmod:att)|,|ATT|,|ülésnapját|,|ATT|,|ülésnapját|,|ülésének|,|ülésének|
True,True,|(amod:att)|,|ATT|,|ülésnapját|,|ATT|,|ülésnapját|,|1.|,|1.|
True,True,|(obj)|,|OBJ|,|megnyitom|,|OBJ|,|megnyitom|,|ülésnapját|,|ülésnapját|
True,True,|(ROOT)|,|ROOT|,|megnyitom|,|ROOT|,|megnyitom|,|megnyitom|,|megnyitom|
True,False,|(punct)|,|PUNCT|,|megnyitom|,|PUNCT|,|.|,|.|,|.|
True,True,|(ROOT)|,|ROOT|,|Tájékoztatom|,|ROOT|,|Tájékoztatom|,|Tájékoztatom|,|Tájékoztatom|
True,True,|(obj)|,|OBJ|,|Tájékoztatom|,|OBJ|,|Tájékoztatom|,|önöket|,|önöket|
True,False,|(punct)|,|PUNCT|,|lesznek|,|PUNCT|,|Tájékoztatom|,"|,|","|,|"
False,False,|(mark)|,|DEP|,|lesznek|,|CONJ|,|Tájékoztatom|,|hogy|,|hogy|
True,True,|(det)|,|DET|,|ülés|,|DET|,|ülés|,|az|,|az|
True,True,|(nmod:att)|,|ATT|,|vezetésében|,|ATT|,|vezetésében|,|ülés|,|ülés|
True,True,|(obl)|,|OBL|,|lesznek|,|OBL|,|lesznek|,|vezetésében|,|vezetésében|
False,False,|(nmod:att)|,|ATT|,|urak|,|NE|,|Lajos|,|Szűcs|,|Szűcs|
False,False,|(flat:name)|,|NE|,|Szűcs|,|ATT|,|urak|,|Lajos|,|Lajos|
False,False,|(cc)|,|COORD|,|Hiszékeny|,|CONJ|,|Lajos|,|és|,|és|
False,False,|(conj)|,|CONJ|,|Szűcs|,|ATT|,|Dezső|,|Hiszékeny|,|Hiszékeny|
False,False,|(flat:name)|,|NE|,|Hiszékeny|,|COORD|,|és|,|Dezső|,|Dezső|
True,True,|(amod:att)|,|ATT|,|urak|,|ATT|,|urak|,|jegyző|,|jegyző|
False,True,|(nsubj)|,|SUBJ|,|lesznek|,|PRED|,|lesznek|,|urak|,|urak|
True,False,|(advcl)|,|ATT|,|Tájékoztatom|,|ATT|,|hogy|,|lesznek|,|lesznek|
False,True,|(nsubj)|,|SUBJ|,|lesznek|,|OBL|,|lesznek|,|segítségemre|,|segítségemre|
True,False,|(punct)|,|PUNCT|,|Tájékoztatom|,|PUNCT|,|.|,|.|,|.|
True,True,|(ROOT)|,|ROOT|,|Köszöntök|,|ROOT|,|Köszöntök|,|Köszöntök|,|Köszöntök|
True,True,|(obj)|,|OBJ|,|Köszöntök|,|OBJ|,|Köszöntök|,|mindenkit|,|mindenkit|
True,False,|(punct)|,|PUNCT|,|kíséri|,|PUNCT|,|Köszöntök|,"|,|","|,|"
True,True,|(nsubj)|,|SUBJ|,|kíséri|,|SUBJ|,|kíséri|,|aki|,|aki|
True,True,|(obl)|,|OBL|,|kíséri|,|OBL|,|kíséri|,|figyelemmel|,|figyelemmel|
True,False,|(acl)|,|ATT|,|mindenkit|,|ATT|,|Köszöntök|,|kíséri|,|kíséri|
True,True,|(obj)|,|OBJ|,|kíséri|,|OBJ|,|kíséri|,|munkánkat|,|munkánkat|
True,False,|(punct)|,|PUNCT|,|Köszöntök|,|PUNCT|,|.|,|.|,|.|
False,False,|(ROOT)|,|ROOT|,|Tisztelt|,|ATT|,|Ház|,|Tisztelt|,|Tisztelt|
False,False,|(nsubj)|,|SUBJ|,|Tisztelt|,|ROOT|,|Ház|,|Ház|,|Ház|
True,False,|(punct)|,|PUNCT|,|Tisztelt|,|PUNCT|,|!|,|!|,|!|
True,True,|(ROOT)|,|ROOT|,|Tájékoztatom|,|ROOT|,|Tájékoztatom|,|Tájékoztatom|,|Tájékoztatom|
True,True,|(obj)|,|OBJ|,|Tájékoztatom|,|OBJ|,|Tájékoztatom|,|önöket|,|önöket|
True,False,|(punct)|,|PUNCT|,|foglaltak|,|PUNCT|,|Tájékoztatom|,"|,|","|,|"
False,False,|(mark)|,|DEP|,|foglaltak|,|CONJ|,|Tájékoztatom|,|hogy|,|hogy|
True,True,|(det)|,|DET|,|kormány|,|DET|,|kormány|,|a|,|a|
True,False,|(nsubj)|,|SUBJ|,|foglaltak|,|SUBJ|,|kezdeményezte|,|kormány|,|kormány|
True,True,|(det)|,|DET|,|Országgyűlésről|,|DET|,|Országgyűlésről|,|az|,|az|
True,True,|(obl)|,|OBL|,|szóló|,|OBL|,|szóló|,|Országgyűlésről|,|Országgyűlésről|
True,True,|(amod:att)|,|ATT|,|törvény|,|ATT|,|törvény|,|szóló|,|szóló|
True,False,|(nmod:att)|,|ATT|,| |,|ATT|,|§|,|törvény|,|törvény|
True,False,|(amod:att)|,|ATT|,| |,|ATT|,|§|,|35.|,|35.|
True,False,|(nmod:att)|,|ATT|,|bekezdésében|,|ATT|,|alapján|,|§|,|§|
True,False,|(punct)|,|PUNCT|,|1|,|PUNCT|,|alapján|,|(|,|(|
False,False,|(appos)|,|MODE|,|§|,|ATT|,|bekezdésében|,|1|,|1)|
huspacy,,|punct|,converted as: PUNCT,|1|,,,|)|,
True,True,|(obl)|,|OBL|,|foglaltak|,|OBL|,|foglaltak|,|bekezdésében|,|bekezdésében|
True,False,|(advcl)|,|ATT|,|Tájékoztatom|,|ATT|,|alapján|,|foglaltak|,|foglaltak|
True,False,|(obl)|,|OBL|,|foglaltak|,|OBL|,|kezdeményezte|,|alapján|,|alapján|
True,True,|(det)|,|DET|,|Országgyűlés|,|DET|,|Országgyűlés|,|az|,|az|
True,True,|(nmod:att)|,|ATT|,|ülésének|,|ATT|,|ülésének|,|Országgyűlés|,|Országgyűlés|
True,True,|(amod:att)|,|ATT|,|ülésének|,|ATT|,|ülésének|,|rendkívüli|,|rendkívüli|
True,True,|(nmod:att)|,|ATT|,|összehívását|,|ATT|,|összehívását|,|ülésének|,|ülésének|
True,True,|(obj)|,|OBJ|,|kezdeményezte|,|OBJ|,|kezdeményezte|,|összehívását|,|összehívását|
False,False,|(conj)|,|CONJ|,|Tájékoztatom|,|ATT|,|hogy|,|kezdeményezte|,|kezdeményezte|
True,False,|(nmod:att)|,|ATT|,|közötti|,|ATT|,|20-a|,|2022.|,|2022.|
True,True,|(nmod:att)|,|ATT|,|20-a|,|ATT|,|20-a|,|június|,|június|
True,True,|(nmod:att)|,|ATT|,|közötti|,|ATT|,|közötti|,|20-a|,|20-a|
False,False,|(cc)|,|COORD|,| |,|CONJ|,|20-a|,|és|,|és|
True,True,|(nmod:att)|,|ATT|,|24e|,|ATT|,|24e|,|június|,|június|
False,False,|(nmod:att)|,|ATT|,| |,|COORD|,|és|,|24e|,|24e|
True,True,|(amod:att)|,|ATT|,|időre|,|ATT|,|időre|,|közötti|,|közötti|
True,True,|(obl)|,|OBL|,|kezdeményezte|,|OBL|,|kezdeményezte|,|időre|,|időre|
True,False,|(punct)|,|PUNCT|,|Tájékoztatom|,|PUNCT|,|.|,|.|,|.|
True,True,|(det)|,|DET|,|levelet|,|DET|,|levelet|,|A|,|A|
False,False,|(ROOT)|,|ROOT|,|levelet|,|OBJ|,|megismerhették|,|levelet|,|levelet|
False,False,|(cc)|,|COORD|,|mellékletét|,|CONJ|,|levelet|,|és|,|és|
True,True,|(nmod:att)|,|ATT|,|mellékletét|,|ATT|,|mellékletét|,|annak|,|annak|
False,False,|(conj)|,|CONJ|,|levelet|,|COORD|,|és|,|mellékletét|,|mellékletét|
True,False,|(punct)|,|PUNCT|,|indítványát|,|PUNCT|,|mellékletét|,"|,|","|,|"
False,False,|(cc)|,|COORD|,|indítványát|,|CONJ|,|mellékletét|,|valamint|,|valamint|
True,True,|(det)|,|DET|,|Fidesz|,|DET|,|Fidesz|,|a|,|a|
True,True,|(nmod:att)|,|ATT|,|képviselőcsoportjának|,|ATT|,|képviselőcsoportjának|,|Fidesz|,|Fidesz|
True,True,|(nmod:att)|,|ATT|,|indítványát|,|ATT|,|indítványát|,|képviselőcsoportjának|,|képviselőcsoportjának|
False,False,|(conj)|,|CONJ|,|levelet|,|COORD|,|valamint|,|indítványát|,|indítványát|
True,True,|(det)|,|DET|,|ülés|,|DET|,|ülés|,|a|,|a|
True,True,|(amod:att)|,|ATT|,|ülés|,|ATT|,|ülés|,|rendkívüli|,|rendkívüli|
True,True,|(nmod:att)|,|ATT|,|javaslatának|,|ATT|,|javaslatának|,|ülés|,|ülés|
True,True,|(amod:att)|,|ATT|,|javaslatának|,|ATT|,|javaslatának|,|napirendi|,|napirendi|
True,True,|(nmod:att)|,|ATT|,|kiegészítésére|,|ATT|,|kiegészítésére|,|javaslatának|,|javaslatának|
True,False,|(obl)|,|OBL|,|megismerhették|,|OBL|,|vonatkozóan|,|kiegészítésére|,|kiegészítésére|
False,True,|(obl)|,|OBL|,|megismerhették|,|MODE|,|megismerhették|,|vonatkozóan|,|vonatkozóan|
True,True,|(det)|,|DET|,|honlapon|,|DET|,|honlapon|,|a|,|a|
True,True,|(obl)|,|OBL|,|megismerhették|,|OBL|,|megismerhették|,|honlapon|,|honlapon|
False,False,|(acl)|,|ATT|,|indítványát|,|ROOT|,|megismerhették|,|megismerhették|,|megismerhették|
True,False,|(punct)|,|PUNCT|,|levelet|,|PUNCT|,|.|,|.|,|.|
False,False,|(ROOT)|,|ROOT|,|Tisztelt|,|ATT|,|Országgyűlés|,|Tisztelt|,|Tisztelt|
False,False,|(nsubj)|,|SUBJ|,|Tisztelt|,|ROOT|,|Országgyűlés|,|Országgyűlés|,|Országgyűlés|
True,False,|(punct)|,|PUNCT|,|Tisztelt|,|PUNCT|,|!|,|!|,|!|
True,True,|(advmod:tlocy)|,|TLOCY|,|kerül|,|TLOCY|,|kerül|,|Most|,|Most|
True,True,|(det)|,|DET|,|napirend|,|DET|,|napirend|,|a|,|a|
True,True,|(nmod:att)|,|ATT|,|előtti|,|ATT|,|előtti|,|napirend|,|napirend|
True,True,|(amod:att)|,|ATT|,|hozzászólásokra|,|ATT|,|hozzászólásokra|,|előtti|,|előtti|
True,True,|(obl)|,|OBL|,|kerül|,|OBL|,|kerül|,|hozzászólásokra|,|hozzászólásokra|
True,True,|(ROOT)|,|ROOT|,|kerül|,|ROOT|,|kerül|,|kerül|,|kerül|
True,True,|(nsubj)|,|SUBJ|,|kerül|,|SUBJ|,|kerül|,|sor|,|sor|
True,False,|(punct)|,|PUNCT|,|kerül|,|PUNCT|,|.|,|.|,|.|
False,True,|(obl)|,|OBL|,|adom|,|MODE|,|adom|,|Elsőként|,|Elsőként|
False,False,|(nmod:att)|,|ATT|,|frakcióvezető|,|NE|,|Péter|,|Ungár|,|Ungár|
False,False,|(flat:name)|,|NE|,|Ungár|,|ATT|,|úrnak|,|Péter|,|Péter|
True,True,|(amod:att)|,|ATT|,|úrnak|,|ATT|,|úrnak|,|frakcióvezető|,|frakcióvezető|
True,True,|(iobj)|,|DAT|,|adom|,|DAT|,|adom|,|úrnak|,|úrnak|
True,True,|(ROOT)|,|ROOT|,|adom|,|ROOT|,|adom|,|adom|,|adom|
True,True,|(compound:preverb)|,|PREVERB|,|adom|,|PREVERB|,|adom|,|meg|,|meg|
True,True,|(det)|,|DET|,|szót|,|DET|,|szót|,|a|,|a|
True,True,|(obj)|,|OBJ|,|adom|,|OBJ|,|adom|,|szót|,|szót|
True,False,|(punct)|,|PUNCT|,|LMP|,|PUNCT|,|adom|,"|,|","|,|"
True,True,|(det)|,|DET|,|LMP|,|DET|,|LMP|,|az|,|az|
False,False,|(conj)|,|CONJ|,|adom|,|ATT|,|részéről|,|LMP|,|LMP|
True,False,|(case)|,|MODE|,|LMP|,|MODE|,|adom|,|részéről|,|részéről|
True,False,|(punct)|,|PUNCT|,|adom|,|PUNCT|,|.|,|.|,|.|
True,True,|(ROOT)|,|ROOT|,|Parancsoljon|,|ROOT|,|Parancsoljon|,|Parancsoljon|,|Parancsoljon|
True,False,|(punct)|,|PUNCT|,|Parancsoljon|,|PUNCT|,|!|,|!|,|!|
False,False,|(ROOT)|,|ROOT|,|UNGÁR|,|NE|,|PÉTER|,|UNGÁR|,|UNGÁR|
False,False,|(flat:name)|,|NE|,|UNGÁR|,|SUBJ|,|Köszönöm|,|PÉTER|,|PÉTER|
True,True,|(punct)|,|PUNCT|,|LMP|,|PUNCT|,|LMP|,|(|,|(|
False,False,|(appos)|,|MODE|,|UNGÁR|,|APPEND|,|PÉTER|,|LMP|,|LMP|
True,False,|(punct)|,|PUNCT|,|Köszönöm|,|PUNCT|,|LMP|,|):|,|):|
False,False,|(parataxis)|,|DEP|,|UNGÁR|,|ROOT|,|Köszönöm|,|Köszönöm|,|Köszönöm|
True,True,|(det)|,|DET|,|szót|,|DET|,|szót|,|a|,|a|
True,True,|(obj)|,|OBJ|,|Köszönöm|,|OBJ|,|Köszönöm|,|szót|,|szót|
True,False,|(punct)|,|PUNCT|,|UNGÁR|,|PUNCT|,|.|,|.|,|.|
False,False,|(ROOT)|,|ROOT|,|Tisztelt|,|ATT|,|Országgyűlés|,|Tisztelt|,|Tisztelt|
False,False,|(nsubj)|,|SUBJ|,|Tisztelt|,|ROOT|,|Országgyűlés|,|Országgyűlés|,|Országgyűlés|
True,False,|(punct)|,|PUNCT|,|Tisztelt|,|PUNCT|,|!|,|!|,|!|
True,False,|(obl)|,|OBL|,|folyamat|,|OBL|,|járt|,|Összességében|,|Összességében|
True,True,|(det)|,|DET|,|folyamat|,|DET|,|folyamat|,|az|,|az|
False,False,|(obl)|,|OBL|,|tartó|,|ATT|,|óta|,|1990|,|1990|
False,False,|(case)|,|MODE|,|1990|,|TFROM|,|tartó|,|óta|,|óta|
True,True,|(amod:att)|,|ATT|,|folyamat|,|ATT|,|folyamat|,|tartó|,|tartó|
False,False,|(ROOT)|,|ROOT|,|folyamat|,|SUBJ|,|járt|,|folyamat|,|folyamat|
True,False,|(punct)|,|PUNCT|,|folyamata|,|PUNCT|,|járt|,"|,|","|,|"
True,False,|(nsubj)|,|SUBJ|,|folyamata|,|SUBJ|,|volt|,|amely|,|amely|
True,True,|(det)|,|DET|,|EU-integráció|,|DET|,|EU-integráció|,|az|,|az|
True,True,|(nmod:att)|,|ATT|,|folyamata|,|ATT|,|folyamata|,|EU-integráció|,|EU-integráció|
False,False,|(acl)|,|ATT|,|folyamat|,|PRED|,|volt|,|folyamata|,|folyamata|
False,False,|(cop)|,|AUX|,|folyamata|,|ATT|,|járt|,|volt|,|volt|
True,False,|(punct)|,|PUNCT|,|járt|,|PUNCT|,|volt|,"|,|","|,|"
True,False,|(advmod:mode)|,|MODE|,|járt|,|MODE|,|sok|,|nagyon|,|nagyon|
False,True,|(det)|,|DET|,|előnnyel|,|ATT|,|előnnyel|,|sok|,|sok|
True,True,|(obl)|,|OBL|,|járt|,|OBL|,|járt|,|előnnyel|,|előnnyel|
False,False,|(conj)|,|CONJ|,|folyamata|,|ROOT|,|járt|,|járt|,|járt|
False,False,|(obl)|,|OBL|,|járt|,|ATT|,|számára|,|Magyarország|,|Magyarország|
True,False,|(case)|,|MODE|,|Magyarország|,|MODE|,|járt|,|számára|,|számára|
True,True,|(punct)|,|PUNCT|,|járt|,|PUNCT|,|járt|,"|,|","|,|"
True,True,|(det)|,|DET|,|tervgazdaság|,|DET|,|tervgazdaság|,|a|,|a|
True,True,|(nmod:att)|,|ATT|,|romjain|,|ATT|,|romjain|,|tervgazdaság|,|tervgazdaság|
True,True,|(obl)|,|OBL|,|kialakult|,|OBL|,|kialakult|,|romjain|,|romjain|
False,False,|(conj)|,|CONJ|,|folyamat|,|TLOCY|,|járt|,|kialakult|,|kialakult|
True,True,|(det)|,|DET|,|gazdaság|,|DET|,|gazdaság|,|egy|,|egy|
True,True,|(amod:att)|,|ATT|,|gazdaság|,|ATT|,|gazdaság|,|olyan|,|olyan|
True,False,|(nsubj)|,|SUBJ|,|kialakult|,|SUBJ|,|járt|,|gazdaság|,|gazdaság|
True,False,|(punct)|,|PUNCT|,|van|,|PUNCT|,|járt|,"|,|","|,|"
True,True,|(obl)|,|OBL|,|van|,|OBL|,|van|,|amelyben|,|amelyben|
False,True,|(det)|,|DET|,|szabadsága|,|ATT|,|szabadsága|,|több|,|több|
True,True,|(nsubj)|,|SUBJ|,|van|,|SUBJ|,|van|,|szabadsága|,|szabadsága|
True,False,|(acl)|,|ATT|,|gazdaság|,|ATT|,|járt|,|van|,|van|
True,True,|(det)|,|DET|,|embereknek|,|DET|,|embereknek|,|az|,|az|
False,True,|(nsubj)|,|SUBJ|,|van|,|DAT|,|van|,|embereknek|,|embereknek|
True,False,|(punct)|,|PUNCT|,|kialakult|,|PUNCT|,|.|,|.|,|.|
True,True,|(det)|,|DET|,|helyzet|,|DET|,|helyzet|,|A|,|A|
True,False,|(nsubj)|,|SUBJ|,|HEAD IS WHITESPACE!|,|SUBJ|,|szólt|,|helyzet|,|helyzet|
False,False,|(punct)|,|PUNCT|,|HEAD IS WHITESPACE!|,|SUBJ|,|szólt|,|az|,|az|
True,True,|(punct)|,|PUNCT|,|szólt|,|PUNCT|,|szólt|,"|,|","|,|"
False,True,|(mark)|,|DEP|,|szólt|,|CONJ|,|szólt|,|hogy|,|hogy|
True,True,|(det)|,|DET|,|év|,|DET|,|év|,|az|,|az|
True,True,|(amod:att)|,|ATT|,|év|,|ATT|,|év|,|elmúlt|,|elmúlt|
False,True,|(nummod)|,|NUM|,|év|,|ATT|,|év|,|12|,|12|
True,True,|(nsubj)|,|SUBJ|,|szólt|,|SUBJ|,|szólt|,|év|,|év|
True,True,|(advmod:mode)|,|MODE|,|szólt|,|MODE|,|szólt|,|tulajdonképpen|,|tulajdonképpen|
True,True,|(obl)|,|OBL|,|szólt|,|OBL|,|szólt|,|arról|,|arról|
False,False,|(csubj)|,|SUBJ|,|HEAD IS WHITESPACE!|,|ROOT|,|szólt|,|szólt|,|szólt|
True,False,|(punct)|,|PUNCT|,|betagozódjon|,|PUNCT|,|szólt|,"|,|","|,|"
False,False,|(mark)|,|DEP|,|betagozódjon|,|CONJ|,|szólt|,|hogy|,|hogy|
True,False,|(det)|,|DET|,|rendszerbe|,|DET|,|neoliberális|,|a|,|a|
True,False,|(amod:att)|,|ATT|,|rendszerbe|,|ATT|,|neoliberális|,|nemzetközi|,|nemzetközi|
False,False,|(amod:att)|,|ATT|,|rendszerbe|,|SUBJ|,|betagozódjon|,|neoliberális|,|neoliberális|
True,True,|(amod:att)|,|ATT|,|rendszerbe|,|ATT|,|rendszerbe|,|gazdasági|,|gazdasági|
True,True,|(obl)|,|OBL|,|betagozódjon|,|OBL|,|betagozódjon|,|rendszerbe|,|rendszerbe|
True,True,|(advmod:mode)|,|MODE|,|betagozódjon|,|MODE|,|betagozódjon|,|sikeresen|,|sikeresen|
False,False,|(ccomp:obl)|,|OBL|,|szólt|,|ATT|,|hogy|,|betagozódjon|,|betagozódjon|
True,True,|(det)|,|DET|,|ország|,|DET|,|ország|,|az|,|az|
True,True,|(nsubj)|,|SUBJ|,|betagozódjon|,|SUBJ|,|betagozódjon|,|ország|,|ország|
True,False,|(punct)|,|PUNCT|,|beszéltünk|,|PUNCT|,|betagozódjon|,"|,|","|,|"
False,False,|(cc)|,|COORD|,|beszéltünk|,|CONJ|,|betagozódjon|,|de|,|de|
True,True,|(advmod:mode)|,|MODE|,|keveset|,|MODE|,|keveset|,|nagyon|,|nagyon|
False,True,|(obj)|,|OBJ|,|beszéltünk|,|MODE|,|beszéltünk|,|keveset|,|keveset|
False,False,|(conj)|,|CONJ|,|betagozódjon|,|COORD|,|de|,|beszéltünk|,|beszéltünk|
False,True,|(det)|,|DET|,|hátrányokról|,|OBL|,|hátrányokról|,|azokról|,|azokról|
True,True,|(det)|,|DET|,|hátrányokról|,|DET|,|hátrányokról|,|a|,|a|
True,True,|(obl)|,|OBL|,|beszéltünk|,|OBL|,|beszéltünk|,|hátrányokról|,|hátrányokról|
True,False,|(punct)|,|PUNCT|,|okozott|,|PUNCT|,|beszéltünk|,"|,|","|,|"
True,True,|(obj)|,|OBJ|,|okozott|,|OBJ|,|okozott|,|amelyeket|,|amelyeket|
True,True,|(det)|,|DET|,|év|,|DET|,|év|,|ez|,|ez|
True,True,|(det)|,|DET|,|év|,|DET|,|év|,|az|,|az|
True,True,|(amod:att)|,|ATT|,|év|,|ATT|,|év|,|elmúlt|,|elmúlt|
False,True,|(nummod)|,|NUM|,|év|,|ATT|,|év|,|30|,|30|
True,True,|(nsubj)|,|SUBJ|,|okozott|,|SUBJ|,|okozott|,|év|,|év|
True,False,|(acl)|,|ATT|,|hátrányokról|,|ATT|,|beszéltünk|,|okozott|,|okozott|
True,False,|(punct)|,|PUNCT|,|HEAD IS WHITESPACE!|,|PUNCT|,|.|,|.|,|.|
True,True,|(det)|,|DET|,|feldolgozóipar|,|DET|,|feldolgozóipar|,|A|,|A|
True,True,|(amod:att)|,|ATT|,|feldolgozóipar|,|ATT|,|feldolgozóipar|,|magyar|,|magyar|
True,True,|(nsubj)|,|SUBJ|,|megszűnt|,|SUBJ|,|megszűnt|,|feldolgozóipar|,|feldolgozóipar|
True,True,|(ROOT)|,|ROOT|,|megszűnt|,|ROOT|,|megszűnt|,|megszűnt|,|megszűnt|
True,False,|(punct)|,|PUNCT|,|képzünk|,|PUNCT|,|megszűnt|,"|,|","|,|"
False,False,|(cc)|,|COORD|,|képzünk|,|CONJ|,|megszűnt|,|és|,|és|
True,True,|(det)|,|DET|,|agyelszívás|,|DET|,|agyelszívás|,|az|,|az|
False,False,|(obl)|,|OBL|,|képzünk|,|ATT|,|miatt|,|agyelszívás|,|agyelszívás|
True,False,|(case)|,|MODE|,|agyelszívás|,|MODE|,|képzünk|,|miatt|,|miatt|
True,True,|(advmod:mode)|,|MODE|,|képzünk|,|MODE|,|képzünk|,|tulajdonképpen|,|tulajdonképpen|
True,True,|(amod:att)|,|ATT|,|embereket|,|ATT|,|embereket|,|olyan|,|olyan|
True,True,|(obj)|,|OBJ|,|képzünk|,|OBJ|,|képzünk|,|embereket|,|embereket|
False,False,|(conj)|,|CONJ|,|megszűnt|,|COORD|,|és|,|képzünk|,|képzünk|
True,False,|(punct)|,|PUNCT|,|tudják|,|PUNCT|,|képzünk|,"|,|","|,|"
True,True,|(nsubj)|,|SUBJ|,|tudják|,|SUBJ|,|tudják|,|akik|,|akik|
True,True,|(det)|,|DET|,|bérelőny|,|DET|,|bérelőny|,|a|,|a|
True,True,|(amod:att)|,|ATT|,|bérelőny|,|ATT|,|bérelőny|,|nyugati|,|nyugati|
False,False,|(obl)|,|OBL|,|megtalálni|,|ATT|,|miatt|,|bérelőny|,|bérelőny|
True,False,|(case)|,|MODE|,|bérelőny|,|MODE|,|tudják|,|miatt|,|miatt|
True,True,|(advmod)|,|NEG|,|tudják|,|NEG|,|tudják|,|nem|,|nem|
True,False,|(acl)|,|ATT|,|embereket|,|ATT|,|képzünk|,|tudják|,|tudják|
True,True,|(xcomp)|,|INF|,|tudják|,|INF|,|tudják|,|megtalálni|,|megtalálni|
True,True,|(obl)|,|OBL|,|megtalálni|,|OBL|,|megtalálni|,|Magyarországon|,|Magyarországon|
True,True,|(det)|,|DET|,|számításukat|,|DET|,|számításukat|,|a|,|a|
True,True,|(obj)|,|OBJ|,|megtalálni|,|OBJ|,|megtalálni|,|számításukat|,|számításukat|
True,False,|(punct)|,|PUNCT|,|megszűnt|,|PUNCT|,|.|,|.|,|.|
False,False,|(nmod:att)|,|ATT|,|közgazdász|,|NE|,|Piketty|,|Thomas|,|Thomas|
False,False,|(flat:name)|,|NE|,|Thomas|,|ATT|,|közgazdász|,|Piketty|,|Piketty|
True,True,|(nsubj)|,|SUBJ|,|mondta|,|SUBJ|,|mondta|,|közgazdász|,|közgazdász|
